"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000256436","259290","TAS2R31","protein_coding",1.89930266428639,0.487109422079117,4.12709898659302,0.000127616124685269,0.999893864163718
"ENSG00000111319","6337","SCNN1A","protein_coding",2.0573988276004,-0.439913668289393,3.47215584511931,0.00102251973571495,0.999893864163718
"ENSG00000185482","246329","STAC3","protein_coding",1.26074708308234,0.380859242300845,3.3691749592996,0.00139516824366726,0.999893864163718
"ENSG00000151881","64417","TMEM267","protein_coding",-0.98332943577244,1.98816383514222,-2.98646611963364,0.00423229837200808,0.999893864163718
"ENSG00000250264",NA,NA,"protein_coding",3.02655795612874,2.6697481945823,2.91927054399515,0.00510282955170185,0.999893864163718
"ENSG00000122477","127495","LRRC39","protein_coding",-1.51087877582886,-0.562855019584173,-2.90301937660482,0.0053370129971603,0.999893864163718
"ENSG00000160062","653121","ZBTB8A","protein_coding",-1.98592023840332,-0.625453837629915,-2.84352047832389,0.00628214415105356,0.999893864163718
"ENSG00000184434","64922","LRRC19","protein_coding",-1.54235760398633,-0.895857576096852,-2.82771700208558,0.00655801724914673,0.999893864163718
"ENSG00000261611",NA,NA,"protein_coding",-1.8963258536967,1.30276958514356,-2.81350601396789,0.00681560939382921,0.999893864163718
"ENSG00000284976",NA,NA,"protein_coding",0.692786961503471,2.51679936240208,2.76079776971253,0.00785475863628764,0.999893864163718
"ENSG00000129646","84074","QRICH2","protein_coding",0.931445068064531,1.12854834431911,2.76047981277606,0.00786144783101987,0.999893864163718
"ENSG00000144152","129804","FBLN7","protein_coding",1.51466107802626,0.202526032475395,2.72942434469333,0.00854063925434607,0.999893864163718
"ENSG00000083444","5351","PLOD1","protein_coding",-0.855526675070856,4.50767316122849,-2.72334096241611,0.00867984284914068,0.999893864163718
"ENSG00000105865","11062","DUS4L","protein_coding",-0.760176767065313,1.42588928254934,-2.69487500448466,0.00935932396583033,0.999893864163718
"ENSG00000163795","130557","ZNF513","protein_coding",-0.549149130531852,3.1660859380367,-2.69414044218573,0.00937748660546176,0.999893864163718
"ENSG00000129354","10053","AP1M2","protein_coding",1.87350006550937,-0.0156817126693694,2.67168485565776,0.00994855327622797,0.999893864163718
"ENSG00000196715","154807","VKORC1L1","protein_coding",-0.467519490141695,3.89296963099411,-2.64629615329536,0.0106324437103005,0.999893864163718
"ENSG00000184986","80757","TMEM121","protein_coding",2.11128993304331,-1.20469815603964,2.6149704216808,0.0115353741791588,0.999893864163718
"ENSG00000180921","286077","FAM83H","protein_coding",1.282849462127,0.50365753916712,2.60289610915125,0.0119016912432273,0.999893864163718
"ENSG00000179934","1237","CCR8","protein_coding",1.21661909873214,-0.522872511789662,2.60120503432244,0.0119538339116676,0.999893864163718
"ENSG00000196878","3914","LAMB3","protein_coding",1.5926825909707,-0.856818787044759,2.58089541042431,0.012596525845713,0.999893864163718
"ENSG00000152700","51128","SAR1B","protein_coding",-0.335603746844614,5.04615354177373,-2.58062910100874,0.0126051581231142,0.999893864163718
"ENSG00000078814","57644","MYH7B","protein_coding",1.53873009542581,-0.167779235989704,2.5298496018588,0.0143529458333464,0.999893864163718
"ENSG00000116285","54206","ERRFI1","protein_coding",-1.06005374225611,0.315651356093414,-2.52790585832084,0.0144240183442547,0.999893864163718
"ENSG00000107130","23413","NCS1","protein_coding",1.71857671727654,-1.007024233876,2.52687630133393,0.0144617929350169,0.999893864163718
"ENSG00000183889","339044","PKD1P1","protein_coding",0.681921460008468,4.29284634219009,2.51711652539853,0.0148243587107206,0.999893864163718
"ENSG00000155961","116442","RAB39B","protein_coding",-0.589886991913382,3.15929861303003,-2.51171298136481,0.0150286169718002,0.999893864163718
"ENSG00000183628","8214","DGCR6","protein_coding",1.65080371747877,-0.285241594655361,2.49181673363359,0.0158028552297298,0.999893864163718
"ENSG00000273045","150590","C2orf15","protein_coding",1.28197886914035,-0.537976385349557,2.48884222712763,0.0159216532595515,0.999893864163718
"ENSG00000164663","25862","USP49","protein_coding",-0.470274621708665,3.24481880714765,-2.48755566143015,0.015973286647939,0.999893864163718
"ENSG00000108828","10493","VAT1","protein_coding",0.401600088040462,3.6295169878588,2.46212892529524,0.0170252582415318,0.999893864163718
"ENSG00000130489","9997","SCO2","protein_coding",2.04587252453507,2.28770564528509,2.45765611990159,0.0172166441702009,0.999893864163718
"ENSG00000186501","84065","TMEM222","protein_coding",-0.384827258849758,4.06030581467423,-2.45232071545762,0.0174474749504761,0.999893864163718
"ENSG00000078140","3093","UBE2K","protein_coding",-0.381106090064315,4.8926174321594,-2.44486128126774,0.0177748751085165,0.999893864163718
"ENSG00000235169","388588","SMIM1","protein_coding",2.18988101217781,0.672715253560723,2.43918412123791,0.0180277466942177,0.999893864163718
