ENSEMBL,logFC,P.Value
ENSG00000220201,-1.167036608,0.002432266
ENSG00000183605,0.724437958,0.002716277
ENSG00000143921,1.282032208,0.002788627
ENSG00000242689,0.805352943,0.002956138
ENSG00000140488,-1.757618645,0.007125605
ENSG00000160972,0.641579201,0.007960733
ENSG00000187066,0.799269556,0.00820138
ENSG00000204856,-0.435298871,0.008388337
ENSG00000277957,2.655225448,0.009462083
ENSG00000131848,0.698263933,0.009910755
ENSG00000226174,-1.230767388,0.010467163
ENSG00000196826,2.632597927,0.011765736
ENSG00000186792,0.916909809,0.014615009
ENSG00000267041,-0.468261087,0.014995511
ENSG00000100802,0.382400594,0.016897861
ENSG00000174428,-0.389021776,0.017595867
ENSG00000112414,1.376975124,0.017830429
ENSG00000151657,-0.237227296,0.01803485
ENSG00000146350,0.490389444,0.019432408
ENSG00000137878,1.40446285,0.020587311
ENSG00000169607,0.899970224,0.021220088
ENSG00000204147,-0.772214779,0.021257179
ENSG00000100197,1.171560501,0.02131821
ENSG00000196993,1.911109025,0.021667505
ENSG00000178860,-1.413713132,0.022463201
ENSG00000144893,0.697507246,0.023614904
ENSG00000185482,-0.615610674,0.024097022
ENSG00000108924,-0.859548248,0.025602087
ENSG00000256525,0.334706643,0.026356863
ENSG00000186281,-1.337361212,0.027154618
ENSG00000129007,-0.589135973,0.027195633
ENSG00000115289,0.371567237,0.027460549
ENSG00000143443,0.32421362,0.029649932
ENSG00000063127,0.851512274,0.030092601
ENSG00000212123,0.90374065,0.030580566
ENSG00000118257,-1.152274854,0.031717138
ENSG00000172260,0.71489257,0.031905003
ENSG00000120645,1.743134833,0.032091498
ENSG00000175449,0.554571186,0.032710524
ENSG00000131470,0.656260878,0.03309675
ENSG00000090432,-0.277182298,0.033343138
ENSG00000282034,-1.292453189,0.034026669
ENSG00000105784,-0.749642935,0.034095492
ENSG00000164542,1.026223501,0.034257606
ENSG00000284952,-1.968627157,0.034337876
ENSG00000088881,0.980037815,0.034628906
ENSG00000165895,0.607261794,0.035495742
ENSG00000141854,0.748165043,0.035502051
ENSG00000162148,0.725560082,0.035950595
ENSG00000128656,-1.082215398,0.036541236
ENSG00000154263,0.556424404,0.036605751
ENSG00000182489,1.116863927,0.037271335
ENSG00000148057,-0.392372622,0.037534252
ENSG00000112357,0.759809339,0.03770698
ENSG00000259171,2.206270039,0.037758116
ENSG00000173867,1.995229149,0.038962697
ENSG00000214941,0.402964147,0.039833955
ENSG00000122877,-0.74765331,0.040707934
ENSG00000182010,-0.686365425,0.040830339
ENSG00000143195,0.944343616,0.042554807
ENSG00000106624,1.083361066,0.042978639
ENSG00000118096,0.412164376,0.043206267
