ENSEMBL,logFC,P.Value
ENSG00000256436,-1.415418796,0.000344049
ENSG00000169738,0.440799671,0.000501666
ENSG00000182810,0.464406701,0.000906552
ENSG00000267228,-4.505623519,0.001242335
ENSG00000118690,-0.77734472,0.001542635
ENSG00000178718,1.007137799,0.002036072
ENSG00000254692,3.775825261,0.00215309
ENSG00000075702,0.963789512,0.002788591
ENSG00000134057,1.305166949,0.002819384
ENSG00000019144,1.842623426,0.002894202
ENSG00000105971,1.952316881,0.00302376
ENSG00000091164,0.357548264,0.003398349
ENSG00000186501,0.367335203,0.003442959
ENSG00000164309,-1.587992246,0.003681613
ENSG00000180425,0.618878128,0.003905149
ENSG00000167186,0.374016735,0.004165252
ENSG00000042832,-1.119835772,0.004231809
ENSG00000185404,-0.498524767,0.004512569
ENSG00000143195,1.608250683,0.004571945
ENSG00000271741,-1.517361996,0.004614505
ENSG00000101447,1.752053116,0.004689542
ENSG00000111057,1.57547088,0.004744916
ENSG00000274349,1.245676875,0.005056446
ENSG00000274211,-0.382382202,0.005092507
ENSG00000228253,-1.621018501,0.005192383
ENSG00000167601,1.056723934,0.005344136
ENSG00000182858,-0.351197837,0.005345015
ENSG00000134013,-1.02695585,0.005771395
ENSG00000133627,-0.539983403,0.00578894
ENSG00000256060,1.228392778,0.005925611
ENSG00000176890,1.607241817,0.006576298
ENSG00000197915,-1.439759506,0.006703817
ENSG00000134056,0.629389176,0.007831993
ENSG00000053372,0.649938543,0.007906124
ENSG00000173421,-1.821681054,0.008100195
ENSG00000056277,-0.604456777,0.008152665
ENSG00000143819,0.799422409,0.008238753
ENSG00000174851,0.437642139,0.008522782
ENSG00000155393,0.343004573,0.008549573
ENSG00000172209,-0.841362781,0.008724333
ENSG00000213648,1.284397223,0.008807311
ENSG00000204086,-0.927267135,0.00893978
ENSG00000102383,-1.450314984,0.009040301
ENSG00000172613,-0.46007629,0.009058196
ENSG00000196456,0.697193345,0.0091005
ENSG00000186132,0.828334357,0.009173988
ENSG00000169621,0.612247429,0.009249659
ENSG00000188033,-0.423168537,0.00941227
ENSG00000100014,-0.257867983,0.009505518
ENSG00000059915,0.944544178,0.009604695
ENSG00000178184,-0.774865114,0.009721945
ENSG00000136636,0.792462495,0.009722817
ENSG00000111145,-0.316852165,0.009812007
ENSG00000285708,-1.681779414,0.010082981
ENSG00000169679,1.14813642,0.010392533
ENSG00000185049,-0.379165686,0.010623496
ENSG00000156097,0.935557394,0.010743272
ENSG00000119685,-0.429780708,0.011514195
ENSG00000150779,0.620457967,0.011610045
ENSG00000185305,-0.476882212,0.011617646
ENSG00000203965,-0.483905338,0.01166769
ENSG00000232859,0.511485331,0.012222743
ENSG00000106355,0.66560802,0.012739088
ENSG00000124496,-0.358890816,0.012903714
ENSG00000155659,0.799381838,0.013029726
ENSG00000166803,1.56261701,0.013213316
ENSG00000105607,0.365369119,0.013725614
ENSG00000168904,-0.440595476,0.01380893
ENSG00000197409,1.666301801,0.013890281
ENSG00000172058,2.042858345,0.013982789
ENSG00000178502,-0.328078422,0.014122991
ENSG00000081026,-0.843914647,0.014191895
ENSG00000129048,-1.33993582,0.014250375
ENSG00000120370,0.523002518,0.014378322
ENSG00000135521,0.563927906,0.014634537
ENSG00000263201,1.747696434,0.014683858
ENSG00000178229,0.888786115,0.015199887
ENSG00000046653,-0.574650206,0.015364953
ENSG00000134825,0.431242932,0.015370806
ENSG00000133401,-0.644315423,0.01546077
ENSG00000135423,1.403777689,0.015490824
ENSG00000081189,0.458183123,0.015676221
ENSG00000124575,0.651582988,0.015837106
ENSG00000275126,0.896501464,0.016091431
ENSG00000179163,0.382245229,0.016121337
ENSG00000197467,-1.811387836,0.016223779
ENSG00000148344,2.027639133,0.016229129
ENSG00000181541,-0.723310791,0.016272328
ENSG00000120693,-0.666166328,0.016382197
ENSG00000174607,1.132542509,0.016428972
ENSG00000088325,1.09038754,0.016580916
ENSG00000049656,0.260817012,0.016600654
ENSG00000065029,-0.421143859,0.0166192
ENSG00000132517,1.499425639,0.016723131
ENSG00000124766,0.907876891,0.016792909
ENSG00000259431,0.375705269,0.016868308
ENSG00000262209,1.392692007,0.016997495
ENSG00000196428,-0.319758825,0.01702073
ENSG00000123096,0.816923454,0.017128721
ENSG00000228300,0.388279692,0.017182592
ENSG00000087586,0.606184002,0.017282393
ENSG00000119899,-0.29828482,0.017300936
ENSG00000154263,-0.698586079,0.017321038
ENSG00000154655,-0.779495531,0.017406959
ENSG00000079156,2.020766866,0.017488987
ENSG00000124635,0.74495754,0.017599399
ENSG00000117724,0.770463593,0.017761173
ENSG00000100433,1.698229224,0.018000463
ENSG00000121417,0.456532839,0.018115011
ENSG00000137936,1.072564648,0.018122754
ENSG00000150967,1.306738311,0.018535157
ENSG00000166762,-0.818943881,0.018681324
ENSG00000072571,1.327162871,0.018724675
