ENSEMBL,logFC,P.Value
ENSG00000256436,1.235816104,0.002181538
ENSG00000129646,0.796596386,0.003767078
ENSG00000151881,-0.756912913,0.004705739
ENSG00000174013,-0.424097585,0.004781365
ENSG00000261611,-1.571276847,0.00490813
ENSG00000166451,-0.828469168,0.005986891
ENSG00000184434,-1.209345491,0.006504076
ENSG00000169621,-0.663587993,0.006524889
ENSG00000197467,2.051062601,0.006661938
ENSG00000198838,0.868217246,0.006766143
ENSG00000087301,-0.498990465,0.008671329
ENSG00000270181,-2.75339947,0.008771024
ENSG00000271793,-2.455700906,0.008960637
ENSG00000124786,-0.395151341,0.009158777
ENSG00000161653,0.823169554,0.009220786
ENSG00000172058,-2.353661919,0.009791818
ENSG00000182858,0.327693681,0.009911878
ENSG00000112232,1.460611372,0.010007534
ENSG00000122477,-1.118646841,0.010441028
ENSG00000111319,1.249492087,0.010450045
ENSG00000091164,-0.309609795,0.011073665
ENSG00000143195,-1.382068899,0.01245018
ENSG00000042832,0.995089314,0.012487649
ENSG00000185527,1.456721571,0.012858471
ENSG00000277462,-0.83341953,0.013034219
ENSG00000072849,-0.262356665,0.01366055
ENSG00000163795,-0.405454944,0.013830299
ENSG00000100362,1.969229263,0.01426207
ENSG00000271741,1.326704864,0.014976076
ENSG00000168502,-1.004827533,0.015097134
ENSG00000167535,0.916470604,0.015993382
ENSG00000055147,-0.311051265,0.016062689
ENSG00000173366,3.672784817,0.01661606
ENSG00000160062,-1.427059786,0.016695334
ENSG00000115392,-0.601582634,0.017566896
ENSG00000152700,-0.242656172,0.017766986
ENSG00000260238,1.944671862,0.017849095
ENSG00000254692,-2.675363526,0.017930891
ENSG00000152475,1.076965093,0.017980212
ENSG00000113597,-0.298082809,0.018283248
ENSG00000100749,-0.64261159,0.018562477
ENSG00000126351,0.387981119,0.018594127
ENSG00000148935,1.452542226,0.019018037
ENSG00000104980,0.397285188,0.019392185
ENSG00000167604,0.368114768,0.019647639
ENSG00000150779,-0.583109194,0.019780193
ENSG00000186501,-0.28900066,0.020576062
ENSG00000125733,0.913072732,0.020793123
ENSG00000188223,2.722492989,0.020989762
ENSG00000010017,-0.442335042,0.02113287
ENSG00000178449,-0.598430099,0.021352509
ENSG00000118557,-1.32838976,0.021508253
ENSG00000205981,-0.425298724,0.022333591
ENSG00000118690,0.56970635,0.022724457
ENSG00000278637,1.04578558,0.022790083
ENSG00000164309,1.268984081,0.02303028
ENSG00000152944,-0.296123281,0.023906361
ENSG00000126705,0.685252189,0.024324944
ENSG00000150433,-0.349058429,0.024791205
ENSG00000230989,-0.362615956,0.024976263
ENSG00000131153,0.726803153,0.025207319
ENSG00000285901,-4.368659036,0.025886885
ENSG00000168101,0.327426777,0.026229912
ENSG00000187498,-1.66533532,0.02626411
ENSG00000259224,0.914809425,0.027383369
ENSG00000171611,1.158405711,0.027583871
ENSG00000082515,-0.396592735,0.028071854
ENSG00000239779,-0.259344934,0.028312198
ENSG00000109674,-0.882046732,0.028886469
ENSG00000148834,-0.348553027,0.029428813
ENSG00000167904,-0.374275467,0.029826652
ENSG00000146733,-0.737338735,0.029929971
ENSG00000162961,-0.642167283,0.029945176
ENSG00000109107,0.462693549,0.030214359
ENSG00000117010,-0.790074316,0.030293867
ENSG00000228253,1.279964917,0.030684681
ENSG00000177076,0.611335532,0.030765761
ENSG00000135763,-0.355421277,0.030829389
ENSG00000162572,1.090072188,0.031849161
ENSG00000174429,1.018627226,0.03223154
ENSG00000171806,-0.59824897,0.032336696
ENSG00000152763,-1.216867749,0.032423585
ENSG00000173421,1.512012923,0.032858982
ENSG00000182195,1.42168509,0.033241198
ENSG00000180921,0.823209922,0.033296435
ENSG00000135736,0.720974954,0.033472317
ENSG00000166275,-0.465912744,0.033681685
