ENSEMBL,logFC,P.Value
ENSG00000169738,0.391630334,0.002933292
ENSG00000137413,-0.302871596,0.005092914
ENSG00000198246,0.529990937,0.005364446
ENSG00000256436,-1.145804447,0.005374328
ENSG00000105426,-1.053687289,0.006326
ENSG00000271741,-1.506690549,0.006794177
ENSG00000198838,-0.876367684,0.00731596
ENSG00000169894,3.111665313,0.008366861
ENSG00000126351,-0.446525293,0.009273565
ENSG00000186919,-1.126549723,0.009588202
ENSG00000155380,0.471747407,0.011023833
ENSG00000270181,2.82075971,0.011847608
ENSG00000085274,0.363831762,0.011922208
ENSG00000082515,0.47906903,0.012408648
ENSG00000163170,0.979903939,0.012951431
ENSG00000162999,0.724537332,0.01342526
ENSG00000119878,0.406019274,0.013575757
ENSG00000174442,0.59477874,0.013800405
ENSG00000119737,-0.901214274,0.014985401
ENSG00000261408,-0.817719265,0.016934009
ENSG00000196811,-0.639453395,0.017067765
ENSG00000257341,1.335329999,0.018354939
ENSG00000112667,-0.944567836,0.018630406
ENSG00000148219,-0.611727515,0.018695927
ENSG00000134013,-0.906907934,0.01898089
ENSG00000178802,-0.417059944,0.019147438
ENSG00000072849,0.258300309,0.019428673
ENSG00000171943,0.462058425,0.020290704
ENSG00000182195,-1.571520714,0.020360262
ENSG00000196421,-0.661079332,0.020569099
ENSG00000052802,0.607034418,0.020610803
ENSG00000168116,0.521846645,0.021284895
ENSG00000101966,0.223116871,0.021436723
ENSG00000158286,-0.869838291,0.021602561
ENSG00000129636,0.214894109,0.022762622
ENSG00000167904,0.410327226,0.022922613
ENSG00000259332,-0.965814725,0.023800135
ENSG00000165138,-0.430146955,0.025702113
ENSG00000121797,0.56109662,0.026015144
ENSG00000249624,-0.903591498,0.026018758
ENSG00000175485,1.371757943,0.026170508
ENSG00000169217,-0.184603425,0.026548227
ENSG00000164484,1.051502959,0.02658014
ENSG00000120162,0.786532402,0.026765149
ENSG00000143195,1.237387048,0.026961359
ENSG00000129467,-0.64337047,0.028073051
ENSG00000006757,0.993463528,0.028393667
ENSG00000134532,1.482049739,0.02839909
ENSG00000204947,0.91042094,0.028922515
ENSG00000165392,0.293463811,0.029481017
ENSG00000095139,0.164545984,0.029553242
ENSG00000162572,-1.125312396,0.029605365
ENSG00000148082,1.657494359,0.029664792
ENSG00000049449,0.635077043,0.029763505
ENSG00000161265,-0.436775222,0.029914274
ENSG00000103494,0.629926533,0.030154033
ENSG00000164309,-1.241807847,0.030216984
ENSG00000182310,-0.890017306,0.030269677
ENSG00000147164,-0.247677322,0.031394463
ENSG00000112576,-0.290635537,0.032416691
ENSG00000117155,0.463062361,0.032515418
ENSG00000141448,2.326458928,0.032764326
ENSG00000087586,0.564503128,0.033118989
ENSG00000186395,0.758986432,0.03332487
ENSG00000042286,-0.487520291,0.033778282
ENSG00000187676,0.669526448,0.034163004
ENSG00000181284,-0.439421966,0.034469209
ENSG00000149609,0.849079477,0.035547011
ENSG00000169621,0.513341239,0.035958783
ENSG00000111319,-1.057154667,0.036399285
ENSG00000213214,-0.845290218,0.036535042
ENSG00000107130,-1.209034259,0.036580599
ENSG00000244693,-2.715171744,0.036647137
ENSG00000103034,-0.727859464,0.036783389
ENSG00000128656,0.989442216,0.03691881
ENSG00000171219,-0.758725521,0.036956292
ENSG00000181004,0.560166846,0.037015685
ENSG00000105771,-0.310842227,0.037161062
ENSG00000166451,0.623808282,0.037260677
ENSG00000111696,-0.610542525,0.037399506
ENSG00000087111,-0.227599433,0.037571919
ENSG00000276023,-0.563291371,0.037798965
ENSG00000165934,0.199651509,0.03792028
ENSG00000170779,-0.459233335,0.038600334
ENSG00000166347,0.462570282,0.038739802
ENSG00000139517,0.334801656,0.03933458
ENSG00000063322,-0.212168804,0.039959855
ENSG00000250264,-1.664734373,0.040099264
ENSG00000140451,1.295190367,0.040215867
ENSG00000087301,0.39525656,0.04026141
ENSG00000182584,0.664811711,0.04053617
ENSG00000107968,0.271399649,0.040801654
ENSG00000187147,-0.244929525,0.040999083
ENSG00000166484,-0.331440219,0.041432523
ENSG00000197467,-1.613392375,0.0415673
ENSG00000258102,-1.346747367,0.042336463
ENSG00000248919,-2.578208316,0.042362434
ENSG00000259753,-3.117659986,0.043157157
ENSG00000262664,0.522248915,0.043515402
ENSG00000271425,-0.497904834,0.044165588
ENSG00000182985,1.25268046,0.044614562
ENSG00000111885,0.378739952,0.044999073
ENSG00000085840,-0.917450099,0.045485955
ENSG00000118292,1.007704219,0.04702787
ENSG00000077044,-0.270339837,0.04703441
ENSG00000167604,-0.32397779,0.047045832
ENSG00000158481,0.653073418,0.047702997
ENSG00000133315,-1.068063189,0.047770121
ENSG00000212807,-0.768672855,0.048089202
ENSG00000148826,-1.330648986,0.048258893
ENSG00000109906,-0.865429598,0.048566636
ENSG00000154262,0.991446555,0.048929223
ENSG00000203705,0.333382207,0.049068179
ENSG00000275793,0.739650471,0.049664927
ENSG00000165655,1.332738514,0.049679537
ENSG00000187866,0.234359316,0.049948923
ENSG00000242689,-0.575111929,0.04995307
ENSG00000196700,-0.658669723,0.050206119
ENSG00000160767,-0.673700082,0.050258247
ENSG00000138161,0.711738367,0.05030213
ENSG00000143147,0.747178409,0.050811299
ENSG00000123136,-0.227985228,0.051041051
ENSG00000103353,0.328525132,0.051186599
ENSG00000134121,1.471187838,0.051468654
ENSG00000178921,-0.419922183,0.052684345
ENSG00000165271,-0.336465291,0.052929396
ENSG00000025772,-0.400053091,0.053163879
ENSG00000205707,0.483644405,0.053651503
ENSG00000004961,0.37903682,0.053770439
ENSG00000139926,1.703845402,0.053925188
ENSG00000174776,0.881956121,0.054107745
ENSG00000059915,0.712203046,0.05452474
ENSG00000196110,0.292457841,0.055046569
ENSG00000032742,0.34984563,0.055351499
ENSG00000176125,-0.957602497,0.055410422
ENSG00000251349,-1.056093291,0.055451977
ENSG00000159713,0.756329921,0.055838962
ENSG00000104983,-0.471452914,0.05584146
ENSG00000173421,-1.400886239,0.05601203
ENSG00000130638,0.255523438,0.056465844
ENSG00000123395,-0.364246427,0.056696968
ENSG00000104472,0.256860202,0.056833855
ENSG00000104299,0.234252534,0.05731673
ENSG00000213420,-0.949904423,0.057438848
ENSG00000151881,0.494228409,0.057870651
ENSG00000214309,0.721374113,0.058718342
ENSG00000110090,-0.448496516,0.059056081
ENSG00000124557,1.336475903,0.059340669
ENSG00000228253,-1.153980488,0.059620692
ENSG00000138303,-0.259848401,0.059790656
ENSG00000135547,1.753072458,0.059911179
ENSG00000169752,0.941305661,0.059932035
ENSG00000239857,-0.233601274,0.060099757
ENSG00000259024,-2.276550321,0.060357955
ENSG00000112578,-0.400188096,0.060791649
ENSG00000105889,0.910376883,0.060967799
ENSG00000157240,0.487939668,0.061004899
ENSG00000033030,0.206841899,0.061297931
ENSG00000113083,0.793608654,0.061611445
ENSG00000145743,0.309958582,0.061730231
ENSG00000115540,0.326231557,0.061756214
ENSG00000256977,-2.105212345,0.062002773
ENSG00000152348,0.465729242,0.06220955
ENSG00000167535,-0.731024005,0.062367861
ENSG00000137710,0.311244885,0.062427813
ENSG00000261459,2.428039358,0.062505874
ENSG00000166225,0.213921592,0.062614484
ENSG00000156735,0.223185691,0.063066247
ENSG00000206140,1.037731882,0.063107284
ENSG00000182712,-0.880515454,0.063166229
ENSG00000106804,0.589174172,0.063366067
ENSG00000111269,0.22442654,0.064542357
ENSG00000005889,0.160052781,0.06462667
ENSG00000087085,1.529716078,0.064750535
ENSG00000072818,-0.217632451,0.064993563
ENSG00000187735,0.374015453,0.065268939
ENSG00000136982,0.819107553,0.065459484
ENSG00000068976,-0.504349252,0.066823694
ENSG00000177425,0.673727074,0.06716865
ENSG00000103248,-0.217025926,0.067566267
ENSG00000004766,0.274864841,0.06771464
ENSG00000159147,-0.422894799,0.067972421
ENSG00000184305,0.73024397,0.06819168
ENSG00000056586,0.183488186,0.068292865
ENSG00000285130,2.390617525,0.068854393
ENSG00000155876,0.253815868,0.069149234
ENSG00000105289,-0.845734065,0.069381854
ENSG00000108219,-0.194205119,0.069439521
ENSG00000196743,0.268141432,0.069696336
ENSG00000273079,1.946664375,0.069766156
ENSG00000063660,-0.612881403,0.069986016
ENSG00000135002,0.43835047,0.070046518
ENSG00000173542,0.303725229,0.070545613
ENSG00000196678,0.497100897,0.070599736
ENSG00000274897,-1.310512631,0.070638904
ENSG00000143811,-0.237249764,0.070835438
ENSG00000166452,0.396635813,0.071416379
ENSG00000118507,0.408999754,0.072115752
ENSG00000055163,-0.219304315,0.072326011
ENSG00000204843,-0.172701953,0.072463345
ENSG00000114315,1.022810232,0.07321535
ENSG00000188343,0.394474913,0.073279899
ENSG00000124257,-1.714412545,0.073374259
ENSG00000172830,-0.41984359,0.073536351
ENSG00000170291,0.330656483,0.073598612
ENSG00000204822,0.342553556,0.073757115
ENSG00000172239,0.365603354,0.074203163
ENSG00000255833,-0.751234982,0.07423411
ENSG00000100422,-0.212674758,0.074353193
ENSG00000205643,0.450932785,0.074507414
ENSG00000145088,0.529208302,0.074569877
ENSG00000277957,-1.820811842,0.074698304
ENSG00000154813,0.241936115,0.075295853
ENSG00000151657,0.193370409,0.075558411
ENSG00000112874,-1.068778616,0.075704627
ENSG00000145632,0.714664685,0.076060573
ENSG00000111445,0.312744071,0.076131878
ENSG00000130204,-0.309039679,0.07618734
ENSG00000172058,1.481942109,0.07621592
ENSG00000132842,0.176250743,0.076344726
ENSG00000107938,0.185800588,0.076512552
ENSG00000204564,-0.468436249,0.07668084
ENSG00000151748,0.277579135,0.076873956
ENSG00000149243,0.843467695,0.076981073
ENSG00000102001,-1.035900469,0.077182473
ENSG00000023892,-0.157990568,0.077189767
ENSG00000115944,0.269895938,0.077376877
ENSG00000109670,0.259073067,0.077537218
ENSG00000140488,1.126366876,0.077582364
ENSG00000107669,0.231850605,0.077678976
ENSG00000144648,1.409464415,0.077721642
ENSG00000079156,1.526150357,0.077838794
ENSG00000144152,-0.766104892,0.077980726
ENSG00000270106,-1.696914015,0.078024438
ENSG00000196866,-1.228694551,0.078051751
ENSG00000178852,0.458099681,0.078088556
ENSG00000129347,-0.30838272,0.078420586
ENSG00000128654,0.543288182,0.078436636
ENSG00000123453,-1.08296817,0.078460399
ENSG00000284194,2.456233663,0.079359706
ENSG00000173465,-0.463635339,0.079377407
ENSG00000168209,-0.641667165,0.079514223
ENSG00000116128,-0.530722886,0.079728698
ENSG00000078053,-0.649261298,0.079773506
ENSG00000155085,0.368963952,0.079910169
ENSG00000172748,0.526871173,0.080141089
ENSG00000188396,1.599080491,0.0802265
ENSG00000105438,0.204148221,0.080690804
