ENSEMBL,logFC,P.Value
ENSG00000220201,1.340329732,0.001161726
ENSG00000213214,1.435369703,0.001648278
ENSG00000188596,-1.455137535,0.001659671
ENSG00000154263,-0.990969433,0.002761594
ENSG00000198746,0.504801657,0.004083091
ENSG00000204536,0.537343765,0.004628023
ENSG00000162174,0.839585638,0.004680193
ENSG00000171241,1.538708278,0.006246833
ENSG00000169105,-0.595192758,0.006528215
ENSG00000196421,0.844042592,0.006760641
ENSG00000147536,0.854064543,0.007009572
ENSG00000131043,0.353549413,0.007030292
ENSG00000178860,1.745794605,0.007528874
ENSG00000139714,0.635414896,0.00757318
ENSG00000063127,-1.274425306,0.009551047
ENSG00000158286,1.035257346,0.010099027
ENSG00000105889,-1.247019491,0.010126394
ENSG00000158435,-0.257535559,0.01038064
ENSG00000083814,0.578534473,0.010390857
ENSG00000006625,0.707339294,0.011645387
ENSG00000138180,1.934788632,0.011684157
ENSG00000134061,0.751168608,0.011864578
ENSG00000264324,2.744556572,0.011887782
ENSG00000049449,-0.734445082,0.011918593
ENSG00000140743,0.528576401,0.012184334
ENSG00000164106,-0.913380892,0.012474527
ENSG00000154274,-1.125114587,0.012893724
ENSG00000088881,-1.420052384,0.013409242
ENSG00000178802,0.440348731,0.013699485
ENSG00000162614,-0.556769129,0.013772357
ENSG00000151090,-1.143816737,0.0140008
ENSG00000283580,0.989010177,0.014097421
ENSG00000106346,-0.374095085,0.014171872
ENSG00000105607,0.383195503,0.014453763
ENSG00000196826,-3.704180468,0.014887646
ENSG00000108924,1.009213862,0.015127911
ENSG00000172456,-0.643839585,0.015894447
ENSG00000177380,-1.257873182,0.016206743
ENSG00000106804,-0.770668718,0.016999608
ENSG00000256646,0.78718405,0.0174145
ENSG00000261308,0.740558833,0.017433664
ENSG00000186230,0.83910412,0.017454981
ENSG00000137720,0.779980672,0.017498182
ENSG00000101966,-0.230288044,0.017507369
ENSG00000137713,0.317200888,0.017754563
ENSG00000133477,1.330147367,0.017789758
ENSG00000127191,0.430321883,0.018159662
ENSG00000118257,1.346170321,0.018567292
ENSG00000086848,0.39663477,0.019022688
ENSG00000164576,-0.260335089,0.019579848
ENSG00000071462,0.459960034,0.019586682
ENSG00000121417,0.465693812,0.019588856
ENSG00000171097,0.602829018,0.020023926
ENSG00000122952,1.404331326,0.020181002
ENSG00000181625,2.113621753,0.020221369
ENSG00000107742,0.631738321,0.020286654
ENSG00000008226,-0.625254337,0.020297754
ENSG00000165948,1.065829436,0.020902637
ENSG00000143195,-1.292371946,0.02121475
ENSG00000186470,-0.473808202,0.021254135
ENSG00000133962,-1.065197364,0.021339823
ENSG00000154655,-0.87093668,0.021346857
ENSG00000050165,1.23053045,0.021381017
ENSG00000184154,0.456885728,0.021858159
ENSG00000153113,-0.273767465,0.021915205
ENSG00000178096,0.706246551,0.021923307
ENSG00000177483,-0.770164916,0.022034732
ENSG00000117318,1.076245703,0.022319108
ENSG00000106049,0.515939657,0.022520091
ENSG00000113231,-0.690950445,0.022528365
ENSG00000183520,0.491380516,0.022604065
ENSG00000163590,-0.596565936,0.023066798
ENSG00000240764,-1.828275438,0.023098339
ENSG00000169313,-0.90242275,0.023293547
ENSG00000169435,1.53725112,0.023609316
ENSG00000158042,0.49656117,0.023730748
ENSG00000137100,0.296894333,0.024035017
ENSG00000162526,1.811559123,0.024072656
ENSG00000177732,0.710272629,0.024089903
ENSG00000179909,1.094427119,0.024195428
ENSG00000183336,-0.528662741,0.024252262
ENSG00000163110,-0.194073268,0.024977377
ENSG00000103066,0.585167135,0.025332739
ENSG00000173705,1.157543845,0.025732721
ENSG00000177076,-0.648881259,0.02581212
ENSG00000162851,0.473184006,0.026450589
ENSG00000157456,1.11330972,0.026670706
ENSG00000205238,-1.475540428,0.026851496
ENSG00000186010,0.389539119,0.027217504
ENSG00000139343,0.612454112,0.027278964
ENSG00000166803,1.453414649,0.027491747
ENSG00000169129,-0.604215369,0.027785696
ENSG00000041353,-0.541379811,0.027874355
ENSG00000274588,-1.697112792,0.028134949
ENSG00000151413,-0.455768455,0.028255425
ENSG00000188312,-0.530228421,0.028285802
ENSG00000188171,1.325139605,0.028333149
ENSG00000154262,-1.116741685,0.028511694
ENSG00000118307,-1.82844975,0.028762252
ENSG00000105364,0.417215676,0.029337084
ENSG00000136541,-0.597443167,0.029349883
ENSG00000283239,2.511811878,0.029358873
ENSG00000273045,0.940437315,0.029507332
ENSG00000123415,0.296726281,0.029638915
ENSG00000114127,-0.330221558,0.029652455
ENSG00000204315,0.557683964,0.02968037
ENSG00000173867,-2.94161555,0.030010667
ENSG00000161653,0.722275253,0.030431954
ENSG00000124459,0.408037719,0.030617148
ENSG00000164741,1.186294018,0.030659031
ENSG00000106952,0.473484252,0.030775059
ENSG00000158747,1.509346808,0.030821963
ENSG00000228300,0.38177708,0.031188233
ENSG00000166928,-0.818434578,0.031337907
ENSG00000141655,0.889126509,0.031427748
ENSG00000132842,-0.21500943,0.03150377
ENSG00000121797,-0.544665412,0.031810324
ENSG00000206418,-0.37215361,0.032221459
ENSG00000137692,0.443306962,0.032260789
ENSG00000127329,-1.279088637,0.032300555
ENSG00000106636,0.240953677,0.032512785
ENSG00000163866,0.235315405,0.03333356
ENSG00000115207,0.230092722,0.033357115
ENSG00000145244,-1.210722843,0.033675352
ENSG00000240230,0.248658893,0.034097182
ENSG00000179029,0.45312774,0.034123252
ENSG00000113555,-0.355706174,0.034162808
ENSG00000101574,-0.322529246,0.03457487
ENSG00000119673,0.533424692,0.034727095
ENSG00000158321,-1.159906921,0.034905983
ENSG00000148019,-1.037488256,0.034917758
ENSG00000170779,0.469345046,0.035276283
ENSG00000276966,0.471099694,0.036017889
ENSG00000133142,0.747123155,0.036025244
ENSG00000152495,0.83258919,0.03615254
ENSG00000130529,-1.807160915,0.036537434
ENSG00000145022,0.216382086,0.036591491
ENSG00000138161,-0.765073409,0.036669402
ENSG00000183742,0.855152226,0.036676539
ENSG00000278705,0.616652942,0.037226594
ENSG00000135547,-1.888419879,0.03734899
ENSG00000164051,0.658181241,0.037521769
ENSG00000163833,-0.723085777,0.037698716
ENSG00000128271,0.54064506,0.037941297
ENSG00000105173,1.2154166,0.038017939
ENSG00000011258,-0.294337836,0.038117743
ENSG00000182010,0.753183491,0.038132184
ENSG00000178896,0.489750058,0.038665017
ENSG00000143147,-0.795552196,0.038734065
ENSG00000274349,0.90047862,0.038918042
ENSG00000242852,2.382855316,0.039006294
ENSG00000147896,-1.00016675,0.039937652
ENSG00000100422,0.245513639,0.039960305
ENSG00000226288,-0.880748182,0.040051573
ENSG00000174886,0.286522524,0.040503791
ENSG00000010319,1.400690081,0.040853836
ENSG00000258465,4.284118218,0.041272346
