"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000260238","100527963","PMF1-BGLAP","protein_coding",3.96042621793866,-0.760531200538407,3.22307486277458,0.00214960159881824,0.999806817875436
"ENSG00000169621","10887","PROKR1","protein_coding",-1.05493281574118,2.19821990497175,-3.18961680075246,0.00236981025543733,0.999806817875436
"ENSG00000119899","26503","SLC17A5","protein_coding",0.54961795639513,3.45211019138752,3.11551010270777,0.0029353432305883,0.999806817875436
"ENSG00000124507","29993","PACSIN1","protein_coding",-2.0951792499662,0.201880455808925,-2.95978873261198,0.00455988269459533,0.999806817875436
"ENSG00000271793",NA,NA,"protein_coding",-3.59346109629492,-1.89226399757883,-2.94602227462169,0.00473801745011456,0.999806817875436
"ENSG00000256436","259290","TAS2R31","protein_coding",1.44194429878608,0.487109422079117,2.89788516446182,0.00541304720259711,0.999806817875436
"ENSG00000267228",NA,NA,"protein_coding",5.20604224579217,-0.568843636610144,2.87776688550762,0.00572077295862611,0.999806817875436
"ENSG00000163795","130557","ZNF513","protein_coding",-0.62706428382491,3.1660859380367,-2.86272837560321,0.00596130444131298,0.999806817875436
"ENSG00000248712","283152","CCDC153","protein_coding",-2.29289810254905,-0.482089608628914,-2.83867604933923,0.00636554833439806,0.999806817875436
"ENSG00000273899","79159","NOL12","protein_coding",-0.501284106986603,3.44589246118365,-2.8325102355677,0.00647318329968793,0.999806817875436
"ENSG00000164309","202333","CMYA5","protein_coding",2.01472533426457,-0.503344199813223,2.80501215020717,0.00697400048311837,0.999806817875436
"ENSG00000204220","10471","PFDN6","protein_coding",-0.646884464608107,2.66096014135995,-2.77704080216204,0.00751992813612695,0.999806817875436
"ENSG00000281887","100527949","GIMAP1-GIMAP5","protein_coding",-5.54365652925321,1.91767491302121,-2.74305154007837,0.00823622729540742,0.999806817875436
"ENSG00000150779","26521","TIMM8B","protein_coding",-0.945122292661186,1.90053713484783,-2.73829786424943,0.00834126585966205,0.999806817875436
"ENSG00000244187","85014","TMEM141","protein_coding",-0.725997556303234,2.20524764638558,-2.71892594407758,0.0087821717091471,0.999806817875436
"ENSG00000056277","55609","ZNF280C","protein_coding",0.879661887208865,1.99836416816619,2.71068464221938,0.0089761532544393,0.999806817875436
