"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000170917","11162","NUDT6","protein_coding",-1.06645416547856,0.43381871965033,-4.11939865727153,0.000130901076058811,0.999824392033145
"ENSG00000186792","8372","HYAL3","protein_coding",1.09246359599134,1.24546571421118,3.56656641657537,0.00076579950718147,0.999824392033145
"ENSG00000185085","80789","INTS5","protein_coding",0.315978591867786,4.02584185776552,3.49198306000079,0.000962601955209611,0.999824392033145
"ENSG00000285708","27086","FOXP1","protein_coding",-1.79029483020188,0.420125114639192,-3.1901720255154,0.00236598873619139,0.999824392033145
"ENSG00000133195","201266","SLC39A11","protein_coding",0.446074866917926,3.56018997974528,3.1713410025473,0.00249888963350663,0.999824392033145
"ENSG00000188596","144535","CFAP54","protein_coding",-0.993431247501669,0.0369365158074885,-3.11327110727478,0.00295425655381042,0.999824392033145
"ENSG00000186047","220107","DLEU7","protein_coding",-0.84380334889083,0.377542155912599,-3.07840327904591,0.00326393702453857,0.999824392033145
"ENSG00000139329","4060","LUM","protein_coding",2.43668545680323,-2.31304266584559,3.06926999062098,0.00334993995346035,0.999824392033145
"ENSG00000104177","50804","MYEF2","protein_coding",-0.625909261002485,2.23844237295107,-3.00175565344542,0.00405457717283037,0.999824392033145
"ENSG00000168772","80319","CXXC4","protein_coding",1.54635354206194,-0.349346269412446,2.95946068199942,0.00456405409095619,0.999824392033145
"ENSG00000169733","5986","RFNG","protein_coding",0.349348342993729,3.3471133641194,2.8602308297748,0.00600214655415649,0.999824392033145
"ENSG00000226174","647310","TEX22","protein_coding",-0.988659083445169,-0.663740494878914,-2.85870416991636,0.00602723930021837,0.999824392033145
"ENSG00000284952",NA,NA,"protein_coding",-2.08865922540853,-0.931184466015948,-2.84710873496554,0.00622101983722705,0.999824392033145
"ENSG00000066468","2263","FGFR2","protein_coding",1.38985875066303,0.16802593405531,2.80224416152442,0.00702634672316408,0.999824392033145
"ENSG00000185482","246329","STAC3","protein_coding",-0.595769651004134,0.380859242300845,-2.78180344270205,0.00742427521856912,0.999824392033145
"ENSG00000131495","4695","NDUFA2","protein_coding",0.350012631866831,3.40719090658821,2.772347554287,0.00761529715365304,0.999824392033145
"ENSG00000175701","205251","MTLN","protein_coding",0.743052545827065,0.663514591848038,2.74618660607071,0.00816762109821966,0.999824392033145
"ENSG00000107249","169792","GLIS3","protein_coding",1.46552005075504,-0.738013307614633,2.73531641186467,0.00840777186210453,0.999824392033145
"ENSG00000154380","55740","ENAH","protein_coding",-1.41961468350396,-1.14210108434343,-2.70365403501124,0.00914473778806482,0.999824392033145
"ENSG00000275395","8857","FCGBP","protein_coding",1.02819541590009,3.04328108211545,2.70070167491083,0.00921639354068089,0.999824392033145
"ENSG00000120645","440073","IQSEC3","protein_coding",1.82806251093212,-1.80022213517259,2.70017525953642,0.00922922396334597,0.999824392033145
