"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000169738","51181","DCXR","protein_coding",0.391630333836491,2.91675324449481,3.11575373587258,0.0029332920681324,0.999542809814262
"ENSG00000137413","129685","TAF8","protein_coding",-0.302871596341291,4.86615973897695,-2.91997383352878,0.00509291372168169,0.999542809814262
"ENSG00000198246","55315","SLC29A3","protein_coding",0.529990937250597,1.67332170088503,2.90115915220019,0.00536444642091266,0.999542809814262
"ENSG00000256436","259290","TAS2R31","protein_coding",-1.14580444722439,0.487109422079117,-2.900491256625,0.00537432801207512,0.999542809814262
"ENSG00000105426","5802","PTPRS","protein_coding",-1.05368728866379,1.61216172287521,-2.84096578150328,0.00632600031261117,0.999542809814262
"ENSG00000271741",NA,NA,"protein_coding",-1.50669054866074,2.31355685740849,-2.81466929945247,0.00679417729857312,0.999542809814262
"ENSG00000198838","6263","RYR3","protein_coding",-0.876367683742122,0.528341395194,-2.78726532253676,0.00731596004906242,0.999542809814262
"ENSG00000169894","4584","MUC3A","protein_coding",3.11166531287126,-2.21276990472495,2.73714787041224,0.00836686078194221,0.999542809814262
"ENSG00000126351","7067","THRA","protein_coding",-0.446525292778905,3.95263396187308,-2.69836117488002,0.00927356459949846,0.999542809814262
"ENSG00000186919","353174","ZACN","protein_coding",-1.12654972328512,0.247275700736686,-2.68571237546236,0.00958820201195966,0.999542809814262
"ENSG00000155380","6566","SLC16A1","protein_coding",0.471747407070514,3.18561919670964,2.63243037533522,0.0110238325743482,0.999542809814262
"ENSG00000270181",NA,NA,"protein_coding",2.82075970957137,-3.43874171945637,2.6046572749511,0.0118476077913105,0.999542809814262
"ENSG00000085274","55892","MYNN","protein_coding",0.363831762073902,4.31550929225224,2.60222990467833,0.0119222082260486,0.999542809814262
"ENSG00000082515","29093","MRPL22","protein_coding",0.479069029829389,2.18455732352461,2.58673305616336,0.0124086478832409,0.999542809814262
"ENSG00000163170","388962","BOLA3","protein_coding",0.979903939230453,0.381727632054541,2.5700809189152,0.0129514305384963,0.999542809814262
"ENSG00000162999","142679","DUSP19","protein_coding",0.724537331923318,1.16642067495302,2.55605508226446,0.0134252599368002,0.999542809814262
"ENSG00000119878","9419","CRIPT","protein_coding",0.406019273713228,2.92747977171339,2.5516942601113,0.0135757570071374,0.999542809814262
"ENSG00000174442","55055","ZWILCH","protein_coding",0.594778740374341,2.37564124534819,2.5452658083323,0.0138004048101106,0.999542809814262
"ENSG00000119737","10936","GPR75","protein_coding",-0.901214273613034,1.30429938421817,-2.512850676529,0.014985400631423,0.999542809814262
"ENSG00000261408","100529145","TEN1-CDK3","protein_coding",-0.817719265128256,1.30964597200945,-2.46427746091258,0.0169340089446182,0.999542809814262
"ENSG00000196811","1146","CHRNG","protein_coding",-0.63945339529621,1.0131422113549,-2.46113160623733,0.0170677653391958,0.999542809814262
"ENSG00000257341",NA,NA,"protein_coding",1.33532999927295,-1.11078628705426,2.43194385438199,0.0183549386174207,0.999542809814262
"ENSG00000112667","10591","DNPH1","protein_coding",-0.944567835763721,0.881034046747116,-2.42593765394991,0.0186304059819292,0.999542809814262
"ENSG00000148219","23245","ASTN2","protein_coding",-0.611727515012819,1.31193169517743,-2.42452082353368,0.0186959267675335,0.999542809814262
"ENSG00000134013","4017","LOXL2","protein_coding",-0.906907934398045,0.735405377404622,-2.41841020066337,0.0189808900738779,0.999542809814262
"ENSG00000178802","4351","MPI","protein_coding",-0.417059943590465,4.45597581932175,-2.41487690200117,0.019147437576103,0.999542809814262
"ENSG00000072849","51009","DERL2","protein_coding",0.258300309363382,4.35465835001273,2.40897270237292,0.0194286728611822,0.999542809814262
"ENSG00000171943","653464","SRGAP2C","protein_coding",0.462058424940004,4.29079698661901,2.39134158370346,0.0202907043977692,0.999542809814262
"ENSG00000182195","23641","LDOC1","protein_coding",-1.57152071437331,-1.05972665975997,-2.38994839420862,0.0203602617455349,0.999542809814262
"ENSG00000196421","284739","C20orf204","protein_coding",-0.661079331735169,0.87226343808078,-2.38579099836641,0.0205690992807589,0.999542809814262
"ENSG00000052802","6307","MSMO1","protein_coding",0.607034418330798,3.4556121937152,2.38496532191186,0.0206108030849031,0.999542809814262
"ENSG00000168116","57691","KIAA1586","protein_coding",0.521846644525513,3.01997055564233,2.37182273802727,0.021284895474671,0.999542809814262
