ENSEMBL,ENTREZID,SYMBOL,gene_type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7
ENSG00000267228,NA,NA,protein_coding,5.01745492,2.605659148,1.251601876,16.36316421
ENSG00000125498,3802,KIR2DL1,protein_coding,4.777057235,0.294630626,2.640125907,12.61203257
ENSG00000281887,100527949,GIMAP1-GIMAP5,protein_coding,4.36849419,2.608876516,0.236397585,11.3968619
ENSG00000260238,100527963,PMF1-BGLAP,protein_coding,2.915825492,3.400032777,0.01866859,9.913902244
ENSG00000124507,29993,PACSIN1,protein_coding,7.309316231,0.009334918,0.07420248,7.309316231
ENSG00000285901,NA,NA,protein_coding,0.003811743,6.932713297,0.017150281,6.932713297
ENSG00000173366,NA,NA,protein_coding,0.198456485,6.535617567,0.282827067,6.535617567
ENSG00000197467,1305,COL13A1,protein_coding,0.014414315,4.463931409,1.277923845,5.704564388
ENSG00000240764,56097,PCDHGC5,protein_coding,0.11016314,1.615766235,3.50941385,5.670392401
ENSG00000270181,NA,NA,protein_coding,0.286699989,5.66360425,0.394758785,5.66360425
ENSG00000240403,3812,KIR3DL2,protein_coding,5.645469749,0.000265952,0.302470941,5.645469749
ENSG00000262621,NA,NA,protein_coding,2.356188419,1.378989876,1.70855115,5.551356013
ENSG00000186081,3852,KRT5,protein_coding,2.385172246,0.017525443,2.240351757,5.343624832
ENSG00000036448,9172,MYOM2,protein_coding,2.562326659,1.96201524,0.014871541,5.027323954
ENSG00000168209,54541,DDIT4,protein_coding,1.900841461,0.086343519,2.569204141,4.883649753
ENSG00000182195,23641,LDOC1,protein_coding,2.251474894,2.101710246,0.002418317,4.731947853
ENSG00000101447,81610,FAM83D,protein_coding,4.728764317,0.175579637,0.163443449,4.728764317
ENSG00000254692,NA,NA,protein_coding,0.474497721,4.672249854,0.134061349,4.672249854
ENSG00000109321,374,AREG,protein_coding,2.391508885,0.20181791,1.925861822,4.605715659
ENSG00000163491,152110,NEK10,protein_coding,4.555809563,0.008768218,0.001183688,4.555809563
ENSG00000257767,NA,NA,protein_coding,1.313913374,0.239311167,3.35836173,4.41259639
ENSG00000271793,NA,NA,protein_coding,0.877201162,5.028443219,9.74E-08,4.410956233
ENSG00000244693,100142659,CTAGE8,protein_coding,0.005743152,0.29901258,4.372641183,4.372641183
ENSG00000256436,259290,TAS2R31,protein_coding,0.058971145,3.288799879,1.286858513,4.232220121
ENSG00000255330,387104,SOGA3,protein_coding,2.870359192,0.205808302,1.465792535,4.207351078
ENSG00000260286,101928603,ARMH2,protein_coding,2.842723287,1.46196464,0.0012292,4.155960928
ENSG00000155542,133383,SETD9,protein_coding,4.104231626,0.000297868,0.000122122,4.104231626
ENSG00000162526,81629,TSSK3,protein_coding,4.029289714,0.037935267,0.009599854,4.029289714
ENSG00000124882,2069,EREG,protein_coding,1.914210207,0.134309668,2.099526512,4.018935078
ENSG00000265118,NA,NA,protein_coding,2.818657429,0.055422936,1.421498409,4.00671705
ENSG00000250264,NA,NA,protein_coding,0.091323501,1.058995218,3.732239728,3.952424024
ENSG00000267022,NA,NA,protein_coding,2.6367198,0.034234951,1.497424076,3.94828771
ENSG00000100433,54207,KCNK10,protein_coding,3.852537308,0.031298876,0.080513531,3.852537308
ENSG00000184659,349334,FOXD4L4,protein_coding,3.823166245,0.019563425,0.015174465,3.823166245
ENSG00000184986,80757,TMEM121,protein_coding,0.144510997,0.243213715,3.753060833,3.753060833
ENSG00000130489,9997,SCO2,protein_coding,0.175670604,0.127179223,3.720945642,3.720945642
ENSG00000284922,NA,NA,protein_coding,0.1492676,1.037328382,3.570763267,3.704054083
