,sig_95,sig_90,sig_85,sig_80
c1_result,586,1115,1148,1745
c2_result,279,489,799,927
c3_result,197,308,486,690
c4_result,111,216,261,406
c5_result,340,700,929,1295
c6_result,325,557,782,1203
c7_result,352,501,864,1119
c8_result,822,1179,2049,2464
c9_result,255,363,533,853
c10_result,479,684,2010,2565
c11_result,164,418,774,1009
c12_result,445,678,1262,1560
c13_result,227,619,637,1062
c14_result,379,857,1264,1633
c15_result,99,223,384,612
c16_result,128,334,304,530
c17_result,183,309,555,482
c18_result,399,756,936,1440
c19_result,400,649,841,1552
