ENSEMBL,logFC,P.Value
ENSG00000143771,-0.409091908,0.00047017
ENSG00000122970,1.107253189,0.000890728
ENSG00000273899,-0.430069077,0.001205474
ENSG00000116213,-0.434766794,0.001384041
ENSG00000068885,0.619427848,0.001531436
ENSG00000163795,-0.523132287,0.001780343
ENSG00000170293,1.890612542,0.002629753
ENSG00000118557,-1.728438194,0.002715469
ENSG00000122121,1.828988552,0.003250602
ENSG00000156500,-0.57652972,0.003296035
ENSG00000183808,0.400926223,0.003726146
ENSG00000127947,-0.616910129,0.003772182
ENSG00000177733,0.395068039,0.004010787
ENSG00000281028,-3.157492553,0.00404733
ENSG00000164576,-0.307666422,0.004418782
ENSG00000096060,-0.810488369,0.004650326
ENSG00000221944,0.904981789,0.004722417
ENSG00000112245,-0.952155053,0.005276875
ENSG00000175309,-0.507886405,0.005370643
ENSG00000005302,-0.443749258,0.005529187
ENSG00000109911,0.509738839,0.005736154
ENSG00000111605,0.321635529,0.005738898
ENSG00000126947,1.655336113,0.005822521
ENSG00000136870,0.472157339,0.005825057
ENSG00000239521,-0.543679213,0.005829364
ENSG00000186395,1.038029642,0.005911345
ENSG00000164985,0.336670682,0.006132118
ENSG00000214021,-0.713207246,0.006535868
ENSG00000084112,-0.508334638,0.007031585
ENSG00000164099,0.843586528,0.007110374
ENSG00000060971,-0.384339229,0.007697641
ENSG00000180626,0.861789903,0.007805998
ENSG00000130997,-0.893720869,0.008089322
ENSG00000197557,0.890069744,0.00844352
ENSG00000161202,-0.494307815,0.008517355
ENSG00000213123,1.577189394,0.008569325
ENSG00000178057,0.43144698,0.008620565
ENSG00000188529,0.356074959,0.008744087
ENSG00000163491,1.697242759,0.008914955
ENSG00000187187,0.641607055,0.008992966
ENSG00000108848,0.370912534,0.009452208
ENSG00000260238,2.459099518,0.009824661
ENSG00000151835,0.540218349,0.009933995
ENSG00000204564,-0.676646342,0.010040019
ENSG00000112339,0.347430896,0.010046129
ENSG00000082258,0.297295458,0.010051534
ENSG00000134007,-1.332367104,0.01009948
ENSG00000174606,0.345368165,0.010183577
ENSG00000109083,-0.46289818,0.010187322
ENSG00000099840,-1.063492352,0.010675408
ENSG00000078900,1.111426984,0.010786463
ENSG00000103671,-0.346114142,0.010792123
ENSG00000258839,-0.865859409,0.010876976
ENSG00000124507,-1.153082065,0.011064121
ENSG00000090581,-0.262301476,0.011072683
ENSG00000168661,0.8721924,0.011348125
ENSG00000075151,-0.428320355,0.011350502
ENSG00000157181,0.399909241,0.011475375
ENSG00000283528,-2.782300959,0.011581905
ENSG00000101974,0.308985416,0.01162717
ENSG00000162650,-0.534477372,0.011720517
ENSG00000215712,-0.410976709,0.011890452
ENSG00000028528,-0.246502134,0.011894528
ENSG00000143756,0.282306783,0.01201021
ENSG00000188994,0.348126776,0.012018816
ENSG00000122299,-0.268088734,0.012112816
ENSG00000283761,-0.824539928,0.012361381
ENSG00000109881,1.288341211,0.012682321
ENSG00000135829,0.22887141,0.013007324
ENSG00000181135,-0.538717065,0.013168633
ENSG00000205084,1.19339773,0.013308324
ENSG00000197275,1.092110277,0.013336155
ENSG00000275895,-0.787208748,0.013377781
ENSG00000128563,-0.329466784,0.013649203
ENSG00000102109,1.526092143,0.013818322
ENSG00000156711,-0.534578979,0.013857258
ENSG00000151065,0.501779961,0.014028934
ENSG00000109606,0.264185668,0.014107168
ENSG00000103496,-0.300969229,0.014153456
ENSG00000160062,-1.485451548,0.014352022
ENSG00000161526,-0.235072845,0.014606278
ENSG00000268350,-0.463039549,0.014861171
ENSG00000135925,1.154473007,0.01495117
ENSG00000213533,-0.375165964,0.01525847
ENSG00000167380,0.452912589,0.015431643
ENSG00000186810,0.699662565,0.015498739
ENSG00000186523,-1.361067482,0.015549547
ENSG00000160199,-0.372973702,0.015586398
ENSG00000119227,-1.217710554,0.015667043
ENSG00000155966,-0.731337221,0.01569301
ENSG00000073111,0.51082998,0.015929691
ENSG00000136937,0.288825638,0.015932068
ENSG00000102984,0.705873713,0.015941634
ENSG00000147813,-0.706722187,0.015984732
ENSG00000069974,-0.379069834,0.016090581
ENSG00000178966,-0.442448557,0.016231144
ENSG00000121410,0.836861269,0.016327602
ENSG00000179912,-0.431879114,0.016502275
ENSG00000120685,-0.518321007,0.016613632
ENSG00000119812,0.445815518,0.016721542
ENSG00000179950,0.255353831,0.017089788
ENSG00000103485,1.246441131,0.017248827
ENSG00000169246,-0.895719135,0.017274344
ENSG00000165646,1.010460737,0.017308471
ENSG00000184465,-0.561434997,0.017485086
ENSG00000167196,0.402727979,0.017930956
ENSG00000129646,0.647332606,0.017990328
ENSG00000138078,0.322487045,0.018135292
ENSG00000158220,1.074054964,0.018265498
ENSG00000101104,-0.679885838,0.018392102
ENSG00000143033,0.266842324,0.018613926
ENSG00000179761,-0.781174765,0.01866858
ENSG00000220205,-0.516613031,0.018753927
ENSG00000154380,1.606860154,0.019248436
ENSG00000155380,0.43385139,0.019549541
ENSG00000250151,-0.63444144,0.019567624
ENSG00000173208,0.589955985,0.019601376
ENSG00000116954,-0.328424073,0.019697561
ENSG00000248099,-1.445018755,0.019721369
ENSG00000135048,-0.398772903,0.019726029
ENSG00000178567,0.31399943,0.020096072
ENSG00000120802,0.292332635,0.02026374
ENSG00000213420,-1.148028177,0.020276711
ENSG00000103494,0.683143748,0.020461769
ENSG00000143498,0.507006539,0.020552068
ENSG00000136108,0.381496907,0.020688004
ENSG00000143156,0.605641467,0.020815211
ENSG00000182973,0.254903307,0.020834784
ENSG00000146067,-0.463394854,0.020950781
ENSG00000062725,0.189492655,0.021010763
ENSG00000143126,-0.907162528,0.021251546
ENSG00000116560,0.212618063,0.021264025
ENSG00000005882,0.518709262,0.021337564
ENSG00000179832,-0.53086733,0.021507686
ENSG00000146350,0.517490518,0.0215896
ENSG00000153094,-0.481340741,0.021595067
ENSG00000100934,0.219984666,0.021608582
ENSG00000185515,0.308358245,0.021658687
ENSG00000079999,0.292737884,0.021759465
ENSG00000163833,-0.76582763,0.021811796
ENSG00000121454,-0.451592621,0.021821078
ENSG00000163600,0.603206353,0.021866877
ENSG00000123989,0.789404455,0.021908588
ENSG00000163535,0.707894698,0.022080093
ENSG00000066923,-0.425305771,0.022395714
ENSG00000068976,-0.567327508,0.022828132
ENSG00000128000,0.428721559,0.022962748
ENSG00000196705,0.345325087,0.022976204
ENSG00000173221,-0.445149335,0.023022817
ENSG00000196967,0.397202796,0.023036276
ENSG00000106443,0.376203454,0.023051142
ENSG00000164654,0.328675186,0.023426614
ENSG00000213516,0.247531356,0.023550883
ENSG00000204842,-0.452943654,0.023632428
ENSG00000008128,-0.314455448,0.02363418
ENSG00000170037,-0.35849349,0.023792902
ENSG00000065833,-1.203880888,0.023909147
ENSG00000213626,0.415595446,0.023981939
ENSG00000255330,2.013238045,0.02405453
ENSG00000175197,-0.514244743,0.024065829
ENSG00000005483,-0.4010978,0.024111769
ENSG00000133138,-1.166574823,0.024189406
ENSG00000032742,0.395584448,0.024220827
ENSG00000188295,0.454778332,0.024230288
ENSG00000149571,-1.214966052,0.024378573
ENSG00000068024,-0.501052451,0.024406413
ENSG00000080845,-0.489506858,0.024430379
ENSG00000122477,-0.994255566,0.024518382
ENSG00000198563,-0.32654172,0.024640447
ENSG00000124222,-0.497504547,0.024697182
ENSG00000109452,0.544849119,0.024743376
ENSG00000137522,-0.445060732,0.024746759
ENSG00000107968,-0.284888673,0.02481783
ENSG00000169629,0.506949251,0.024893087
ENSG00000198585,-0.393890461,0.024980809
ENSG00000122140,0.425777832,0.025093562
ENSG00000128656,1.204350786,0.025105899
ENSG00000164244,0.3371873,0.025242702
ENSG00000135365,-0.562089515,0.025269768
ENSG00000248712,-1.308837183,0.025311659
ENSG00000249624,-0.828363169,0.025320482
ENSG00000203668,0.602858567,0.02536018
ENSG00000186222,0.436930741,0.025398096
ENSG00000125944,0.274185493,0.025429425
ENSG00000053770,0.271472711,0.025430474
ENSG00000153914,0.272634375,0.025490079
ENSG00000225973,-0.490386409,0.025583305
ENSG00000073584,0.288007652,0.025638738
