"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000197467",1305,"COL13A1","protein_coding",2.05106260117052,-0.593551598458028,2.82192281667865,0.00666193824770389,0.99971674718633
"ENSG00000173366",NA,NA,"protein_coding",3.67278481724742,-0.602315399641763,2.47184631935542,0.016616059870214,0.99971674718633
"ENSG00000188223",NA,NA,"protein_coding",2.72249298948948,-1.75554933944912,2.37753032052632,0.0209897615034852,0.99971674718633
"ENSG00000267228",NA,NA,"protein_coding",2.52034159040355,-0.568843636610144,1.71263455256163,0.0925014232852294,0.99971674718633
"ENSG00000183793",100288332,"NPIPA5","protein_coding",2.42157067180435,-0.811472935912095,1.63075572909565,0.108745677073008,0.99971674718633
"ENSG00000196826",NA,NA,"protein_coding",2.68567590622612,-2.48797619905297,1.62813510508695,0.109301694851565,0.99971674718633
"ENSG00000176020",386724,"AMIGO3","protein_coding",2.02793324485296,-0.0215106832781797,1.52818344984886,0.132288111590731,0.99971674718633
"ENSG00000259753",NA,NA,"protein_coding",2.3579262721029,-2.77856256932067,1.51104298541401,0.136591911833975,0.99971674718633
"ENSG00000274810",100532724,"NPHP3-ACAD11","protein_coding",2.35327121449309,-2.45142583023451,1.47148687260877,0.146947840193011,0.99971674718633
"ENSG00000274049",100532735,"INO80B-WBP1","protein_coding",2.05711894435543,-2.82650752874027,1.30088104313813,0.198808136459717,0.99971674718633
"ENSG00000036448",9172,"MYOM2","protein_coding",3.14664660459543,2.19609482628497,1.19332726208231,0.237943711907901,0.99971674718633
"ENSG00000213934",3047,"HBG1","protein_coding",3.12815378385697,1.89508626073559,0.963207181145949,0.339725610680842,0.99971674718633
