"ENSEMBL","ENTREZID","SYMBOL","gene_type","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000270181",NA,NA,"protein_coding",-2.75339946976864,-3.43874171945637,-2.71940462745496,0.00877102374728729,0.99971674718633
"ENSG00000271793",NA,NA,"protein_coding",-2.45570090567797,-1.89226399757883,-2.7113377906957,0.00896063731503937,0.99971674718633
"ENSG00000172058",8293,"SERF1A","protein_coding",-2.3536619192605,-1.09325699339752,-2.67772800609288,0.00979181757639005,0.99971674718633
"ENSG00000254692",NA,NA,"protein_coding",-2.67536352645321,-3.19722108225595,-2.44135008110134,0.0179308910701155,0.99971674718633
"ENSG00000285901",NA,NA,"protein_coding",-4.36865903571442,-1.20580822785884,-2.29090862505517,0.0258868849782419,0.99971674718633
"ENSG00000281887",100527949,"GIMAP1-GIMAP5","protein_coding",-2.30357334395062,1.91767491302121,-1.82382276695712,0.0736996456575857,0.99971674718633
"ENSG00000203852",333932,"HIST2H3A","protein_coding",-2.31545260019108,1.94445689175299,-1.82333326216934,0.0737747986134989,0.99971674718633
"ENSG00000258790",NA,NA,"protein_coding",-2.71958163961171,-2.0033360182087,-1.72208236059066,0.0907630266752748,0.99971674718633
"ENSG00000259040",100526836,"BLOC1S5-TXNDC5","protein_coding",-2.8375459971091,-2.28749219191932,-1.5337746589267,0.130907800823563,0.99971674718633
"ENSG00000258555",101730217,"SPECC1L-ADORA2A","protein_coding",-2.04831611661744,-2.66485615487454,-1.2925371070096,0.201659795368525,0.99971674718633
"ENSG00000258465",NA,NA,"protein_coding",-2.31289585490124,-1.62809325451951,-1.19761348564469,0.236283964747708,0.99971674718633
"ENSG00000273217",NA,NA,"protein_coding",-2.80940572939216,-1.69860867719133,-0.999307154015804,0.322090912536086,0.99971674718633
