ensembl_gene_id,chromosome_name,start_position,end_position,from_position,to_position,length
ENSG00000000971,1,196652043,196747504,chr1:196652043,chr1:196747504,95461
ENSG00000001631,7,92198969,92246166,chr7:92198969,chr7:92246166,47197
ENSG00000002745,7,121325367,121341104,chr7:121325367,chr7:121341104,15737
ENSG00000003987,8,17296794,17413528,chr8:17296794,chr8:17413528,116734
ENSG00000004487,1,23019443,23083689,chr1:23019443,chr1:23083689,64246
ENSG00000004766,7,93232340,93361123,chr7:93232340,chr7:93361123,128783
ENSG00000005302,X,11758159,11775772,chrX:11758159,chrX:11775772,17613
ENSG00000005469,7,87345681,87399795,chr7:87345681,chr7:87399795,54114
ENSG00000005801,11,3339261,3379222,chr11:3339261,chr11:3379222,39961
ENSG00000006530,7,141551278,141655244,chr7:141551278,chr7:141655244,103966
ENSG00000006534,11,68008578,68029282,chr11:68008578,chr11:68029282,20704
ENSG00000006576,7,77798792,77957503,chr7:77798792,chr7:77957503,158711
ENSG00000007402,3,50362799,50504244,chr3:50362799,chr3:50504244,141445
ENSG00000007516,16,1333601,1349441,chr16:1333601,chr16:1349441,15840
ENSG00000008128,1,1702379,1724357,chr1:1702379,chr1:1724357,21978
ENSG00000008283,17,63432304,63446354,chr17:63432304,chr17:63446354,14050
ENSG00000008869,2,36968383,37084372,chr2:36968383,chr2:37084372,115989
ENSG00000010072,1,231337104,231355023,chr1:231337104,chr1:231355023,17919
ENSG00000010610,12,6786858,6820799,chr12:6786858,chr12:6820799,33941
ENSG00000011260,17,51260546,51297936,chr17:51260546,chr17:51297936,37390
ENSG00000011405,11,17077730,17207983,chr11:17077730,chr11:17207983,130253
ENSG00000011566,2,39249266,39437301,chr2:39249266,chr2:39437301,188035
ENSG00000011600,19,35904401,35908295,chr19:35904401,chr19:35908295,3894
ENSG00000012822,12,53708517,53727745,chr12:53708517,chr12:53727745,19228
ENSG00000013288,4,6575189,6623362,chr4:6575189,chr4:6623362,48173
ENSG00000013392,6,83193357,83198935,chr6:83193357,chr6:83198935,5578
ENSG00000013810,4,1712891,1745176,chr4:1712891,chr4:1745176,32285
ENSG00000015153,12,42157104,42238349,chr12:42157104,chr12:42238349,81245
ENSG00000018280,2,218382029,218396894,chr2:218382029,chr2:218396894,14865
ENSG00000018510,2,177392757,177559299,chr2:177392757,chr2:177559299,166542
ENSG00000019144,11,118606440,118658031,chr11:118606440,chr11:118658031,51591
ENSG00000021355,6,2832332,2841959,chr6:2832332,chr6:2841959,9627
ENSG00000023572,1,193090866,193106114,chr1:193090866,chr1:193106114,15248
ENSG00000024526,1,68474152,68497221,chr1:68474152,chr1:68497221,23069
ENSG00000033122,1,69568261,70151945,chr1:69568261,chr1:70151945,583684
ENSG00000033178,4,67612652,67701155,chr4:67612652,chr4:67701155,88503
ENSG00000033327,11,78215293,78418348,chr11:78215293,chr11:78418348,203055
ENSG00000033867,3,27372721,27484420,chr3:27372721,chr3:27484420,111699
ENSG00000035499,5,60596912,60700190,chr5:60596912,chr5:60700190,103278
ENSG00000036549,1,77562416,77683419,chr1:77562416,chr1:77683419,121003
ENSG00000039068,16,68737292,68835541,chr16:68737292,chr16:68835541,98249
ENSG00000039123,5,55307989,55425579,chr5:55307989,chr5:55425579,117590
ENSG00000040341,8,73420369,73747708,chr8:73420369,chr8:73747708,327339
ENSG00000042317,14,88384924,88470350,chr14:88384924,chr14:88470350,85426
ENSG00000046653,X,13770939,13938638,chrX:13770939,chrX:13938638,167699
ENSG00000047188,5,113513694,113595285,chr5:113513694,chr5:113595285,81591
ENSG00000047315,4,56977722,57031158,chr4:56977722,chr4:57031158,53436
ENSG00000048405,7,127346790,127431924,chr7:127346790,chr7:127431924,85134
ENSG00000049089,1,40300489,40317813,chr1:40300489,chr1:40317813,17324
ENSG00000049656,5,1317752,1345099,chr5:1317752,chr5:1345099,27347
ENSG00000050327,7,144355288,144380632,chr7:144355288,chr7:144380632,25344
ENSG00000053770,14,57268924,57298742,chr14:57268924,chr14:57298742,29818
ENSG00000053900,4,25377213,25418498,chr4:25377213,chr4:25418498,41285
ENSG00000054148,9,136848724,136851027,chr9:136848724,chr9:136851027,2303
ENSG00000054219,2,159803355,159904756,chr2:159803355,chr2:159904756,101401
ENSG00000055130,7,148697914,148801110,chr7:148697914,chr7:148801110,103196
ENSG00000056277,X,130202707,130268899,chrX:130202707,chrX:130268899,66192
