ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C1,pi_value_C5,pi_value_C7,pi_value_C1_C5_C7,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000267228,NA,NA,NA,5.01745492,2.605659148,1.251601876,16.36316421,NA,NA,NA,NA,NA,NA
ENSG00000125498,3802,KIR2DL1,Protein Coding,4.777057235,0.294630626,2.640125907,12.61203257,Killer Cell Immunoglobulin Like Receptor_ Two Ig Domains And Long Cytoplasmic Tail 1,Entrez Gene Summary for KIR2DL1 Gene Killer cell immunoglobulin-like receptors (KIRs) are transmembrane glycoproteins expressed by natural killer cells and subsets of T cells. The KIR genes are polymorphic and highly homologous and they are found in a clu,GeneCards Summary for KIR2DL1 Gene KIR2DL1 (Killer Cell Immunoglobulin Like Receptor_ Two Ig Domains And Long Cytoplasmic Tail 1) is a Protein Coding gene.Diseases associated with KIR2DL1 include Hematopoietic Stem Cell Transplantation and Birdshot Chorio,UniProtKB/Swiss-Prot for KIR2DL1 GeneKI2L1_HUMAN_P43626Receptor on natural killer (NK) cells for some HLA-C alleles such as w4 and w6. Inhibits the activity of NK cells thus preventing cell lysis.,NA,NA
ENSG00000281887,100527949,GIMAP1-GIMAP5,Protein Coding,4.36849419,2.608876516,0.236397585,11.3968619,GIMAP1-GIMAP5 Readthrough,Entrez Gene Summary for GIMAP1-GIMAP5 Gene This locus represents naturally occurring readthrough transcription between the neighboring GIMAP1 (GTPase_ IMAP family member 1) and GIMAP5 (GTPase, IMAP family member 5) genes on chromosome 7. Alternative splic,GeneCards Summary for GIMAP1-GIMAP5 Gene GIMAP1-GIMAP5 (GIMAP1-GIMAP5 Readthrough) is a Protein Coding gene.An important paralog of this gene is GIMAP5. ,Additional gene information for GIMAP1-GIMAP5 Gene HGNC(51257)Entrez Gene(100527949)Ensembl(ENSG00000281887)UniProtKB(A0A087WTJ2) Search for GIMAP1-GIMAP5 at DataMedSearch for GIMAP1-GIMAP5 at HumanCyc,NA,NA
ENSG00000260238,100527963,PMF1-BGLAP,Protein Coding,2.915825492,3.400032777,0.01866859,9.913902244,PMF1-BGLAP Readthrough,Entrez Gene Summary for PMF1-BGLAP Gene This locus represents naturally occurring read-through transcription between the neighboring PMF1 (polyamine-modulated factor 1) and BGLAP (bone gamma-carboxyglutamate Gla protein) genes on chromosome 1. Alternative,GeneCards Summary for PMF1-BGLAP Gene PMF1-BGLAP (PMF1-BGLAP Readthrough) is a Protein Coding gene.An important paralog of this gene is PMF1. ,Additional gene information for PMF1-BGLAP Gene HGNC(42953)Entrez Gene(100527963)Ensembl(ENSG00000260238)UniProtKB(U3KQ54)UniProtKB(A0A087WT04) Monarch InitiativeSearch for PMF1-BGLAP at DataMedSearch for PMF1-BGLAP at HumanCyc,NA,NA
ENSG00000124507,29993,PACSIN1,Protein Coding,7.309316231,0.009334918,0.07420248,7.309316231,Protein Kinase C And Casein Kinase Substrate In Neurons 1,Additional gene information for PACSIN1 Gene HGNC(8570)Entrez Gene(29993)Ensembl(ENSG00000124507)OMIM(606512)UniProtKB(Q9BY11) Search for PACSIN1 at DataMedSearch for PACSIN1 at HumanCyc,GeneCards Summary for PACSIN1 Gene PACSIN1 (Protein Kinase C And Casein Kinase Substrate In Neurons 1) is a Protein Coding gene.Among its related pathways are Vesicle-mediated transport and Clathrin-mediated endocytosis.Gene Ontology (GO) annotations rela,UniProtKB/Swiss-Prot for PACSIN1 GenePACN1_HUMAN_Q9BY11Plays a role in the reorganization of the microtubule cytoskeleton via its interaction with MAPT; this decreases microtubule stability and inhibits MAPT-induced microtubule polymerization. Plays a rol,NA,NA
ENSG00000285901,NA,NA,NA,0.003811743,6.932713297,0.017150281,6.932713297,NA,NA,NA,NA,NA,NA
ENSG00000173366,NA,NA,NA,0.198456485,6.535617567,0.282827067,6.535617567,NA,NA,NA,NA,NA,NA
ENSG00000197467,1305,COL13A1,Protein Coding,0.014414315,4.463931409,1.277923845,5.704564388,Collagen Type XIII Alpha 1 Chain,Entrez Gene Summary for COL13A1 Gene This gene encodes the alpha chain of one of the nonfibrillar collagens. The function of this gene product is not known_ however, it has been detected at low levels in all connective tissue-producing cells so it may ser,GeneCards Summary for COL13A1 Gene COL13A1 (Collagen Type XIII Alpha 1 Chain) is a Protein Coding gene.Diseases associated with COL13A1 include Myasthenic Syndrome_ Congenital, 19 and Postsynaptic Congenital Myasthenic Syndromes.Among its related pathways,UniProtKB/Swiss-Prot for COL13A1 GeneCODA1_HUMAN_Q5TAT6Involved in cell-matrix and cell-cell adhesion interactions that are required for normal development. May participate in the linkage between muscle fiber and basement membrane. May play a role in endo,NA,NA
ENSG00000240764,56097,PCDHGC5,Protein Coding,0.11016314,1.615766235,3.50941385,5.670392401,Protocadherin Gamma Subfamily C_ 5,Entrez Gene Summary for PCDHGC5 Gene This gene is a member of the protocadherin gamma gene cluster_ one of three related clusters tandemly linked on chromosome five. These gene clusters have an immunoglobulin-like organization, suggesting that a novel mec,GeneCards Summary for PCDHGC5 Gene PCDHGC5 (Protocadherin Gamma Subfamily C_ 5) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include calcium ion binding.An important paralog of this gene is PCDHGC4. ,UniProtKB/Swiss-Prot for PCDHGC5 GenePCDGM_HUMAN_Q9Y5F6Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.,NA,NA
ENSG00000270181,NA,NA,NA,0.286699989,5.66360425,0.394758785,5.66360425,NA,NA,NA,NA,NA,NA
