"ENSEMBL","ENTREZID","SYMBOL","pi_C10_C18_C19","sig_pi_C1","sig_pi_C5","sig_pi_C7","chr","start_pos","end_pos","bin"
"ENSG00000240764",56097,"PCDHGC5",24.2245644913178,0,0,0,"5",140868808,140892546,"705"
"ENSG00000181625",79008,"SLX1B",17.9523183837285,0,0,2.80891700038636,"16",29465822,29469540,"148"
"ENSG00000135547",23493,"HEY2",11.0177711902212,2.25503761280844,5.8844719865009,0,"6",126068810,126082415,"631"
"ENSG00000267228",NA,NA,9.45991396846347,5.01745491993746,8.06585193557165,0,"18",44661027,44702652,"224"
"ENSG00000264324",NA,NA,9.29500190096094,0,3.97812827445191,2.19647160727344,"2",74438731,74590504,"373"
"ENSG00000105948",79989,"TTC26",8.94309159106683,0,6.25253054426576,0,"7",138818490,138876732,"695"
"ENSG00000115155",9381,"OTOF",6.97543795768765,0,4.63803242096217,0,"2",26680071,26781566,"134"
"ENSG00000265118",NA,NA,6.94153223489494,2.8186574290346,1.81628578623462,0,"17",29632231,29645849,"149"
"ENSG00000196826",NA,NA,6.76818210858002,0,0,0,"19",12572373,12662288,"63&64"
"ENSG00000284952",NA,NA,6.74103765423196,1.75031018930527,0,4.60787135051586,NA,NA,NA,NA
"ENSG00000135862",3915,"LAMC1",6.67337340987006,0,2.61131984863303,0,"1",182992595,183114727,"915&916"
"ENSG00000162526",81629,"TSSK3",6.65653354102232,4.02928971446699,0,0,"1",32817122,32829913,"165"
"ENSG00000283765",NA,NA,6.65319447574675,0,0,0,NA,NA,NA,NA
"ENSG00000185386",5600,"MAPK11",6.44896652697798,0,1.87905793154894,0,"22",50702142,50709196,"254"
"ENSG00000088827",6614,"SIGLEC1",6.02740838444906,0,2.01568428030301,0,"20",3667617,3687775,"19"
"ENSG00000250264",NA,NA,5.99528064914944,0,0,0,"6",32781544,32806599,"164&165"
"ENSG00000258465",NA,NA,5.93067983273213,0,0,0,"1",160187254,160254920,"801&802"
"ENSG00000228570",283008,"NUTM2E",5.85383901898712,0,3.73160447591459,0,"10",81601114,81610632,"409"
"ENSG00000281887",100527949,"GIMAP1-GIMAP5",5.58755769516391,4.36849418981607,0,0,NA,NA,NA,NA
"ENSG00000101447",81610,"FAM83D",5.57132469047104,4.72876431701288,4.09824615355959,0,"20",37554955,37581703,"188"
"ENSG00000142494",55244,"SLC47A1",5.43099348411547,2.61717407982322,0,0,"17",19398698,19482347,"97&98"
"ENSG00000166762",117155,"CATSPER2",5.34493846421052,2.78666069745837,3.11932271434527,0,"15",43920701,43960316,"220"
"ENSG00000228253",4509,"ATP8",4.78227451399159,0,2.34429468432212,0,"MT",8366,8572,"1"
"ENSG00000206557",131405,"TRIM71",4.51102531365624,0,0,1.53085365882759,"3",32859510,32939318,"165"
"ENSG00000281028",55300,"PI4K2B",4.49274583668207,2.62282576438424,0,0,NA,NA,NA,NA
"ENSG00000158747",4681,"NBL1",4.48585914433051,0,0,0,"1",19967048,19984945,"100"
"ENSG00000173867",55070,"DET1",4.47926961229414,0,0,0,"15",89002948,89055760,"446"
"ENSG00000213988",7643,"ZNF90",4.26723832078027,0,0,0,"19",20188803,20237885,"101&102"
"ENSG00000100433",54207,"KCNK10",4.18917350072997,3.85253730750212,3.76571217271836,0,"14",88649113,88793251,"444"
"ENSG00000124507",29993,"PACSIN1",4.15353652991442,7.30931623136275,4.22841191360823,0,"6",34433916,34503006,"173"
"ENSG00000183087",2621,"GAS6",4.14610577089294,1.83960860956914,0,0.903283289368121,"13",114523522,114567046,"573"
"ENSG00000145113",4585,"MUC4",4.05576281521149,0,2.76964572769321,0,"3",195473636,195539148,"978"
"ENSG00000130489",9997,"SCO2",4.0459338969115,0,0,0,"22",50961997,50964868,"255"
"ENSG00000188596",144535,"CFAP54",4.04525047156894,0,0.758626251765961,2.51293579269069,"12",96883349,97269333,"485&486&487"
"ENSG00000213214",445328,"ARHGEF35",3.99459007928537,0,0,0,"7",143883176,143991230,"720"
"ENSG00000220201",100125288,"ZGLP1",3.93372874106546,0,0,0,"19",10415479,10420556,"53"
"ENSG00000180834",79929,"MAP6D1",3.91593420374616,0,0,3.48186250507884,"3",183533664,183543382,"918"
"ENSG00000184916",3714,"JAG2",3.91047378402164,2.9991489914146,0,0,"14",105607318,105635161,"529"
"ENSG00000125551",5342,"PLGLB2",3.87221081020512,0,2.48653542569174,0,"2",88047606,88058312,"441"
"ENSG00000283239",104266957,"KBTBD11-OT1",3.84875042796523,0,0,0,NA,NA,NA,NA
"ENSG00000237541",3117,"HLA-DQA1",3.75336621265449,0,0,0,"6",32709119,32714992,"164"
"ENSG00000138180",55165,"CEP55",3.73879062965124,0,0,1.02505023345195,"10",95256389,95288849,"477"
"ENSG00000178860",9242,"MSC",3.7067932439772,0,2.31453432194423,0,"8",72753784,72756703,"364"
"ENSG00000154263",10349,"ABCA10",3.67491186883611,1.21945870678697,1.44571451040823,0,"17",67143355,67240987,"336&337"
"ENSG00000180071",253650,"ANKRD18A",3.65645175842231,2.16854713192075,0,0.90506506487209,"9",38540566,38620657,"193&194"
"ENSG00000255152",100532732,"MSH5-SAPCD1",3.61508722444358,0,1.58207131098033,0,"6",31707797,31732628,"159"
"ENSG00000116983",51440,"HPCAL4",3.55393343783223,1.88975031961659,0,0,"1",40144320,40157361,"201"
"ENSG00000269242",NA,NA,3.54997603946504,0,2.47808814477364,0,"19",12754645,12759211,"64"
"ENSG00000163491",152110,"NEK10",3.4996499141908,4.55580956269244,0,0,"3",27151576,27410951,"136&137&138"
"ENSG00000150967",23457,"ABCB9",3.48832738877121,2.16327680206293,3.32006735271934,0,"12",123405498,123466196,"618"
"ENSG00000284922",NA,NA,3.45081322689158,0,0,0,NA,NA,NA,NA
"ENSG00000171241",79801,"SHCBP1",3.39183633732827,0,0,0.757699523567368,"16",46614466,46655538,"234"
"ENSG00000235169",388588,"SMIM1",3.37680454226054,0,0,0,"1",3689352,3692546,"19"
"ENSG00000242852",163051,"ZNF709",3.3571221975152,1.61787600831367,0,0.807744010004835,"19",12571998,12624668,"63&64"
"ENSG00000261052",6818,"SULT1A3",3.27280230218638,0,4.5429972926797,0,"16",30205754,30215631,"152"
"ENSG00000160201",7307,"U2AF1",3.26345097650964,2.63393453016575,2.93721402158275,0,"21",44513066,44527697,"223"
"ENSG00000179761",51268,"PIPOX",3.22804985596664,2.66886161048665,0,0,"17",27277531,27384234,"137"
"ENSG00000125618",7849,"PAX8",3.21703363478267,2.68802656942007,0,0,"2",113973574,114036527,"570&571"
"ENSG00000106341",10842,"PPP1R17",3.14157427165668,0,0,0,"7",31726329,31748069,"159"
"ENSG00000155542",133383,"SETD9",3.13651028551943,4.10423162564424,0,0,"5",56205087,56221359,"282"
"ENSG00000037897",4234,"METTL1",3.08657638121694,0,1.44607052017311,0,"12",58162254,58166576,"291"
"ENSG00000188313",5359,"PLSCR1",3.02793445196994,0,1.83392920191844,0,"3",146232967,146262651,"732"
"ENSG00000283088",NA,NA,3.00841563446718,0,0,0,NA,NA,NA,NA
"ENSG00000164850",2852,"GPER1",3.00138915707022,1.42629160458488,1.40742591309966,0,"7",1121844,1133451,"6"
"ENSG00000050628",5733,"PTGER3",2.97825554350282,0,1.83717669989366,0,"1",71318036,71513491,"357&358"
"ENSG00000147889",1029,"CDKN2A",2.95175851926836,1.04793505647872,0,0,"9",21967751,21995300,"110"
"ENSG00000141448",2627,"GATA6",2.92788252678957,0,0,1.57591391144396,"18",19749404,19782491,"99"
"ENSG00000184828",201501,"ZBTB7C",2.92368585260492,0,0,0,"18",45553044,45937123,"228&229&230"
"ENSG00000177602",83903,"HASPIN",2.9182976128459,2.24210306653008,0,0,"17",3627211,3630067,"19"
"ENSG00000128886",80237,"ELL3",2.91356952880299,0,0,0,"15",44064798,44069741,"221"
"ENSG00000203989",727940,"RHOXF2B",2.91153046646552,0,0,0,"X",119205848,119211707,"597"
"ENSG00000260238",100527963,"PMF1-BGLAP",2.90588444341092,2.91582549229414,0,0,"1",156182773,156213123,"781&782"
"ENSG00000128165",79924,"ADM2",2.89984782574282,0,1.94719498855618,0,"22",50919985,50924869,"255"
"ENSG00000267645",246721,"POLR2J2",2.89950552277939,0,0,0,"7",102277496,102312088,"512"
"ENSG00000105711",6324,"SCN1B",2.88619534173512,1.45981492662888,0,0,"19",35521588,35531352,"178"
"ENSG00000108771",79132,"DHX58",2.86572669706985,0,0,0,"17",40253422,40264751,"202"
"ENSG00000070018",4040,"LRP6",2.85385678772861,0,0,0,"12",12268959,12419946,"62&63"
"ENSG00000213213",84960,"CCDC183",2.84863829873899,0,0,0,"9",139690802,139702193,"699"
"ENSG00000118307",55259,"CASC1",2.81796490313111,0,0,1.60966697459951,"12",25261354,25348096,"127"
"ENSG00000198502",3127,"HLA-DRB5",2.8128584818255,0,0,0,"6",32485120,32498064,"163"
"ENSG00000140470",170691,"ADAMTS17",2.80526338571836,0,0,0,"15",100511794,100882210,"503&504&505"
"ENSG00000260861",NA,NA,2.76861662945202,3.58711088327382,0,0,"20",1520790,1600655,"8&9"
"ENSG00000189253",642446,"TRIM64B",2.74145139464889,0,0,0,"11",89602450,89609185,"449"
"ENSG00000066468",2263,"FGFR2",2.66580673325118,0,0,2.99274174030384,"10",123237848,123357972,"617"
"ENSG00000088881",57593,"EBF4",2.65918410024628,0,0,0,"20",2673524,2740753,"14"
"ENSG00000146955",401409,"RAB19",2.65891767846718,3.36351865853272,2.78723823997334,0,"7",140103843,140126050,"701"
"ENSG00000205593",414918,"DENND6B",2.65128541741586,1.7878557397049,0,0,"22",50747459,50765489,"254"
"ENSG00000274588",139189,"DGKK",2.63180423359455,0,0,0,NA,NA,NA,NA
"ENSG00000110944",51561,"IL23A",2.62274602958835,0,0,0,"12",56732663,56734193,"284"
"ENSG00000259522",NA,NA,2.60479659721435,0,0,0,"14",24649601,24659622,"124"
"ENSG00000130529",54795,"TRPM4",2.59736364120064,0,1.91921543317073,2.85135317201307,"19",49660998,49715093,"249"
"ENSG00000183054",727851,"RGPD8",2.59451233429155,0,0,0,"2",111271389,111334762,"557"
"ENSG00000002745",51384,"WNT16",2.59094055625232,1.80103143428043,0,0,"7",120965421,120981158,"605"
"ENSG00000197915",388697,"HRNR",2.58745903027379,0,3.52598543697093,0,"1",152184558,152196669,"761"
"ENSG00000178718",54913,"RPP25",2.58660027354753,0,3.36815103766448,0,"15",75246757,75249805,"377"
"ENSG00000142089",10410,"IFITM3",2.58403170046792,0,0,0,"11",319669,327537,"2"
"ENSG00000078814",57644,"MYH7B",2.58169060023908,0,0,0,"20",33563206,33590240,"168"
"ENSG00000063127",28968,"SLC6A16",2.5742741414148,1.44604574691196,0,0,"19",49792895,49828482,"249&250"
"ENSG00000119865",25927,"CNRIP1",2.56176770554851,0,0,0,"2",68511303,68547183,"343"
"ENSG00000196208",9687,"GREB1",2.53115000853502,0,5.11853295943556,0,"2",11674242,11782914,"59"
"ENSG00000196993",100507607,"NPIPB9",2.50649392846687,0,0,0,"16",28763108,28784128,"144"
"ENSG00000099958",91319,"DERL3",2.50117627810371,2.44871620146036,2.9481702201386,0,"22",24176690,24181315,"121"
"ENSG00000169435",166824,"RASSF6",2.50097936774703,1.40400654193517,0,0,"4",74437267,74486348,"373"
"ENSG00000105889",256227,"STEAP1B",2.48723671398952,0,0,0,"7",22459063,22672544,"113&114"
"ENSG00000204839",642475,"MROH6",2.48101112064147,1.20049879981026,0,0,"8",144648357,144655141,"724"
"ENSG00000283528",NA,NA,2.45661902057545,4.59551975615496,0,0,NA,NA,NA,NA
"ENSG00000255374",259289,"TAS2R43",2.45493398274107,0,0,0,"12",11243886,11244912,"57"
"ENSG00000184659",349334,"FOXD4L4",2.44447389695838,3.82316624481255,0,0,"9",70426623,70429731,"353"
"ENSG00000163380",56203,"LMOD3",2.43218758925032,2.48677106401791,0,0,"3",69156023,69172183,"346"
"ENSG00000106686",55064,"SPATA6L",2.41758999206577,0,0,1.04942483379031,"9",4553386,4666674,"23&24"
"ENSG00000182489",402415,"XKRX",2.39861727172997,0,0,0,"X",100168431,100184422,"501"
"ENSG00000272636",8447,"DOC2B",2.39772258199525,0,0,0,"17",5810,31427,"1"
"ENSG00000164082",2912,"GRM2",2.39737631972834,0,0,0,"3",51741086,51752629,"259"
