ENSEMBL,SYMBOL,pi_C1_C5_C7,pi_C10_C18_C19,pi_C9_C12_C15,chr,start_pos,end_pos,variant_loc,cms_score,related_genes
ENSG00000160201,U2AF1,7.736429434,3.263450977,1,chr21,44513066,44527697,chr21:44524006,16.3117,CBS & CBSL & CRYAA & CRYAA2 & FRGCA & LOC106780825 & PKNOX1 & U2AF1 & U2AF1L5
ENSG00000115155,OTOF,6.679237064,6.975437958,1,chr2,26680071,26781566,chr2:26739247,13.6058,C2orf70 & CIB4 & DRC1 & OTOF
ENSG00000180509,KCNE1,3.371838444,1,1,chr21,35818988,35884573,chr21:35849290,12.0268,FAM243A & FAM243B & KCNE1 & KCNE1B & RCAN1 & SMIM11A & SMIM11B
ENSG00000107249,GLIS3,3.041421725,1,1,chr9,3824127,4348392,chr9:4246688,9.77535,GLIS3
ENSG00000107249,GLIS3,3.041421725,1,1,chr9,3824127,4348392,chr9:4135650,9.42419,GLIS3
ENSG00000066468,FGFR2,2.99274174,2.665806733,1,chr10,123237848,123357972,chr10:123274062,9.99623,FGFR2
ENSG00000184226,PCDH9,2.56350172,1.055135061,1,chr13,66876967,67804468,chr13:66930599,9.19406,PCDH9
ENSG00000184226,PCDH9,2.56350172,1.055135061,1,chr13,66876967,67804468,chr13:67252038,9.12345,PCDH9
ENSG00000188596,CFAP54,2.512935793,4.045250472,1,chr12,96883349,97269333,chr12:97037123,11.0237,CFAP54
ENSG00000188596,CFAP54,2.512935793,4.045250472,1,chr12,96883349,97269333,chr12:96997680,8.92862,CFAP54
ENSG00000127124,HIVEP3,2.005138235,1,1,chr1,41972036,42501596,chr1:42019006,12.2396,EDN2 & HIVEP3
ENSG00000183117,CSMD1,1.992218226,2.25689561,1,chr8,2792875,4852494,chr8:4493300,12.2465,CSMD1
ENSG00000183117,CSMD1,1.992218226,2.25689561,1,chr8,2792875,4852494,chr8:3455844,10.3666,CSMD1
ENSG00000138829,FBN2,1.90015576,1,1,chr5,127593601,127994878,chr5:127933152,8.84442,FBN2
ENSG00000138829,FBN2,1.90015576,1,1,chr5,127593601,127994878,chr5:127692821,8.61444,FBN2
ENSG00000221866,PLXNA4,1.869570057,1,1,chr7,131808091,132333447,chr7:131853816,16.6348,LOC101928807 & PLXNA4
ENSG00000221866,PLXNA4,1.869570057,1,1,chr7,131808091,132333447,chr7:132017849,15.3642,LOC101928807 & PLXNA4
ENSG00000112303,VNN2,1.856826765,1,1,chr6,133065009,133084598,chr6:133073425,8.04853,RPS12 & SLC18B1 & SNORA33 & SNORD100 & SNORD101 & VNN1 & VNN2 & VNN3
