chr,pos,cms_score,genes
chr2,160894871,23.0957,ITGB6 & PLA2R1
chr7,299450,22.9029,FAM20C
chr19,33231786,22.687,ANKRD27 & NUDT19 & RGS9BP & SLC7A9 & TDRD12
chr6,52112716,22.3467,IL17A & IL17F & LINCMD1 & MCM3 & MIR133B
chr5,145778013,22.1664,POU4F3 & TCERG1
chr22,37774358,22.1526,CYTH4 & ELFN2 & LOC100506271 & MFNG
chr16,26841292,22.089,NONAME
chr19,33772816,21.8366,CEBPA & CEBPA-DT & CEBPG & LRP3 & SLC7A10
chr12,109589024,21.456,ACACB & ALKBH2 & UNG & USP30 & USP30-AS1
chr7,132886923,21.3855,EXOC4 & LOC105375512 & MIR6133
chr20,24717867,21.0975,SYNDIG1
chr16,80053766,20.8858,NONAME
chr12,104362476,20.7427,C12orf73 & GLT8D2 & HCFC2 & HSP90B1 & MIR3652 & TDG & TTC41P
chr14,35858552,20.6549,NFKBIA & PSMA6
chr2,160058859,20.5648,MIR6888 & TANC1 & WDSUB1
chr7,132366862,20.5105,FLJ40288 & LOC100506937 & PLXNA4
chr16,25931923,20.3012,HS3ST4
chr19,33190285,20.2778,ANKRD27 & NUDT19 & RGS9BP & SNORA68B & TDRD12
chr12,109603931,20.0465,ACACB & ALKBH2 & UNG & USP30
chr7,100692680,19.9416,LOC102724094 & MUC12 & MUC17 & MUC3A & SERPINE1 & TRIM56
chr5,22461671,19.8584,CDH12
chr6,158211568,19.8259,SNX9
chr6,71343073,19.7825,FAM135A & SDHAF4 & SMAP1
chr12,109318833,19.7569,DAO & MIR619 & SSH1 & SVOP
chr22,44762977,19.7043,LINC01656 & SHISAL1
chr12,104415609,19.6817,C12orf73 & GLT8D2 & HCFC2 & HSP90B1 & MIR3652 & NFYB & TDG & TTC41P
chr15,60250100,19.2139,FOXB1
chr12,116018801,19.2028,NONAME
chr10,49483894,19.1609,FRMPD2 & MAPK8
chr14,103008824,19.0762,ANKRD9 & LINC02323 & MIR4309 & RCOR1 & TECPR2
chr2,161351758,19.0488,MIR4785 & RBMS1
chr15,60620015,18.8699,ANXA2 & ICE2
chr6,52559782,18.8502,GSTA1 & GSTA2 & GSTA7P & LOC730101 & TMEM14A
chr6,158197415,18.8199,SNX9
chr4,2475109,18.7769,CFAP99 & FAM193A & RNF4 & ZFYVE28
chr1,110426252,18.7436,CSF1
chr1,167473425,18.6737,CD247 & CREG1 & POU2F1
chr10,27620469,18.5145,ACBD5 & ARMC4P1 & LRRC37A6P & PTCHD3
chr1,167103945,18.5041,DUSP27 & GPA33 & LINC01363 & POU2F1
chr12,9462984,18.2941,A2MP1 & LINC00987 & LINC02367 & LOC101928030 & LOC642846 & LOC728715 & MIR1244-1 & MIR1244-2 & MIR1244-3 & MIR1244-4
chr18,22170149,18.2509,LINC01915
chr14,25017635,18.0335,CMA1 & CTSG & GZMB & GZMH & LOC101927045
chr2,161135991,17.9315,ITGB6 & LINC02478 & RBMS1
chr4,166659698,17.892,LINC01179 & LOC101928131
chr12,114241124,17.8291,LINC01234 & RBM19
chr14,35775561,17.7992,KIAA0391 & NFKBIA & PSMA6
chr11,118765688,17.7678,BCL9L & CXCR5 & FOXR1 & MIR4492 & UPK2
chr1,16739907,17.6607,CROCCP3 & FBXO42 & LINC01772 & NECAP2 & SPATA21 & SZRD1
chr16,11449862,17.6402,LOC105371083 & PRM1 & PRM2 & PRM3 & RMI2 & SOCS1 & TNP2
chr12,47970908,17.6151,RPAP3
chr12,108739318,17.6139,CMKLR1 & WSCD2
chr14,97529074,17.5619,LINC02304
chr14,24943431,17.5597,CBLN3 & CMA1 & CTSG & KHNYN & LOC101927045 & NFATC4 & NYNRIN & SDR39U1
chr16,11003101,17.3161,CIITA & CLEC16A & DEXI & TVP23A
chr3,70179120,17.2701,MDFIC2
chr15,66410651,17.2501,MEGF11 & MIR4311
chr1,170916068,17.1875,MROH9
chr20,41027721,17.1105,PTPRT
chr17,12363103,17.1036,LINC00670
chr7,100805508,16.949,AP1S1 & CLDN15 & FIS1 & MIR4653 & MOGAT3 & NAT16 & PLOD3 & SERPINE1 & TRIM56 & VGF & ZNHIT1
chr12,66572219,16.9337,IRAK3 & LLPH & LLPH-DT & MIR6502 & TMBIM4
chr3,24281453,16.9326,LOC101927854 & THRB
chr16,63169289,16.908,NONAME
chr14,23511047,16.8293,ACIN1 & AJUBA & C14orf119 & C14orf93 & CDH24 & CEBPE & HAUS4 & LMLN2 & LOC101926933 & MIR4707 & PSMB11 & PSMB5 & SLC7A8
chr2,24654215,16.812,ITSN2 & NCOA1
chr7,157132342,16.8057,DNAJB6 & UBE3C
chr1,81130780,16.7143,LINC01781
chr12,120856874,16.7038,COQ5 & COX6A1 & DYNLL1 & GATC & MSI1 & NRAV & PLA2G1B & SRSF9 & TRIAP1
chr9,127909069,16.6481,HSPA5 & LOC105376271 & PPP6C & RABEPK & SCAI
chr7,131853816,16.6348,LOC101928807 & PLXNA4
chr17,80928674,16.5981,B3GNTL1 & TBCD
chr3,24885336,16.5431,RARB
chr3,69369296,16.5178,FRMD4B
chr8,11663173,16.4462,C8orf49 & CTSB & FDFT1 & GATA4 & NEIL2
chr10,96132106,16.3721,NOC3L & PLCE1 & PLCE1-AS1 & TBC1D12
chr14,61477507,16.3601,MNAT1 & SLC38A6 & TRMT5
chr9,136390116,16.3146,ADAMTS13 & ADAMTSL2 & CACFD1 & FAM163B & MYMK & SLC2A6
chr21,44524006,16.3117,CBS & CBSL & CRYAA & CRYAA2 & FRGCA & LOC106780825 & PKNOX1 & U2AF1 & U2AF1L5
chr12,48145171,16.2411,ENDOU & HDAC7 & RAPGEF3 & RPAP3 & SLC48A1 & VDR
chr11,130089231,16.186,APLP2 & LOC646383 & ST14 & ZBTB44
chr8,129009401,16.08,MIR1205 & MIR1206 & MIR1207 & PVT1 & TMEM75
chr8,119430347,16.0635,SAMD12
chr12,114760656,16.0403,LINC02459 & TBX5 & TBX5-AS1
chr1,11642386,15.992,DISP3 & FBXO2 & FBXO44 & FBXO6 & LINC01647 & MAD2L2
chr2,28669749,15.9167,FLJ31356 & FOSL2 & PLB1
chr15,37315018,15.9107,MEIS2 & MIR8063
chr8,5495711,15.9041,NONAME
chr14,70650225,15.8456,ADAM21P1 & LOC646548 & SLC8A3
chr6,156917322,15.8437,NONAME
chr6,65467612,15.8369,EYS
chr1,80838880,15.8369,NONAME
chr1,170662120,15.7613,PRRX1
chr8,142299511,15.7466,DENND3 & GPR20 & LINC01300 & LOC105375787 & SLC45A4
chr11,11959136,15.7466,DKK3 & LINC02547 & USP47
chr6,106381668,15.7429,NONAME
chr7,33001824,15.7131,FKBP9 & KBTBD2 & NT5C3A & RP9P
chr7,32984247,15.7044,FKBP9 & KBTBD2 & NT5C3A & RP9P
chr16,75202935,15.7037,BCAR1 & CTRB1 & CTRB2 & LDHD & LOC100506281 & ZFP1 & ZNRF1
chr3,117376407,15.6929,LINC02024
chr10,79711325,15.6881,DLG5 & DLG5-AS1 & POLR3A & RPS24
chr15,66395428,15.6742,MEGF11 & MIR4311
chr4,102476921,15.6549,NONAME
chr3,69712957,15.6522,MITF
chr16,80237041,15.6041,LOC102724084
chr16,23367580,15.6002,COG7 & SCNN1B
chr5,75785818,15.597,IQGAP2
chr16,20414772,15.5914,ACSM2A & ACSM5 & GP2 & PDILT & UMOD
chr3,66451821,15.5208,LRIG1 & SLC25A26
chr12,30976136,15.5195,CAPRIN2 & LINC00941 & LOC645485
chr5,135462564,15.4981,SMAD5 & SMAD5-AS1 & SMIM32 & TGFBI & TRPC7 & TRPC7-AS2 & VTRNA2-1
chr15,34026710,15.4806,RYR3
chr3,26558520,15.4538,NONAME
chr4,31286598,15.4521,LINC02497
chr3,117750008,15.4422,NONAME
chr16,26584816,15.4397,NONAME
chr15,56888770,15.4252,ZNF280D
chr16,11297562,15.4149,CLEC16A & PRM1 & PRM2 & PRM3 & SOCS1 & TNP2
chr3,167915921,15.382,EGFEM1P
chr7,132017849,15.3642,LOC101928807 & PLXNA4
chr16,75191471,15.3423,BCAR1 & CTRB1 & CTRB2 & LDHD & LOC100506281 & ZFP1 & ZNRF1
chr6,53355211,15.3328,GCLC & LOC101927136
chr19,40411407,15.3129,DYRK1B & FBL & FCGBP & MIR6719 & PSMC4 & ZNF546
