ENSEMBL,ENTREZID,SYMBOL,pi_C1_C5_C7,sig_pi_C1,sig_pi_C5,sig_pi_C7,chr,start_pos,end_pos
ENSG00000267228,NA,NA,40.4700484776211,5.01745491993746,8.06585193557165,0,18,44661027,44702652
ENSG00000271793,NA,NA,1.04680557685223,0,0,1.04680557685223,6,86267696,86324952
ENSG00000285901,NA,NA,1,0,0,0,NA,NA,NA
ENSG00000172058,8293,SERF1A,1,0,0,0,5,70196492,70214357
ENSG00000256436,259290,TAS2R31,1,0,0,0,12,11182986,11184006
ENSG00000188394,NA,NA,1,0,0,0,9,125796806,125797975
ENSG00000197467,1305,COL13A1,1,0,0,0,10,71561644,71724031
ENSG00000160062,653121,ZBTB8A,1,0,0,0,1,33005028,33071540
ENSG00000143195,387597,ILDR2,1,0,0,0,1,166882443,166944719
ENSG00000271741,NA,NA,1,0,0,0,1,35447134,35497342
ENSG00000173421,339834,CCDC36,1,0,0,0,3,49235861,49295537
ENSG00000164309,202333,CMYA5,1.2549480340838,0,1.2549480340838,0,5,78985700,79096063
ENSG00000116299,57535,KIAA1324,21.9379093487152,0,8.14952199048727,2.69192590366929,1,109656301,109749401
ENSG00000228253,4509,ATP8,2.34429468432212,0,2.34429468432212,0,MT,8366,8572
ENSG00000173366,NA,NA,1,0,0,0,3,52255097,52265206
ENSG00000235169,388588,SMIM1,1,0,0,0,1,3689352,3692546
ENSG00000175445,4023,LPL,1,0,0,0,8,19759228,19824769
ENSG00000260238,100527963,PMF1-BGLAP,2.91582549229414,2.91582549229414,0,0,1,156182773,156213123
ENSG00000122477,127495,LRRC39,1,0,0,0,1,100614409,100643771
ENSG00000281887,100527949,GIMAP1-GIMAP5,4.36849418981607,4.36849418981607,0,0,NA,NA,NA
ENSG00000264324,NA,NA,8.73784580492532,0,3.97812827445191,2.19647160727344,2,74438731,74590504
ENSG00000042832,7038,TG,1,0,0,0,8,133879203,134147147
ENSG00000105971,858,CAV2,1,0,0,0,7,115927434,116148595
ENSG00000262304,NA,NA,1,0,0,0,17,3468738,3539543
ENSG00000019144,23187,PHLDB1,1,0,0,0,11,118477155,118528741
ENSG00000111319,6337,SCNN1A,1,0,0,0,12,6456009,6486896
ENSG00000102383,158866,ZDHHC15,1,0,0,0,X,74588262,74743337
ENSG00000129422,57509,MTUS1,1,0,0,0,8,17501304,17658426
ENSG00000169679,699,BUB1,1,0,0,0,2,111395275,111435691
ENSG00000117724,1063,CENPF,1,0,0,0.952846190065535,1,214776538,214837931
ENSG00000137267,7280,TUBB2A,1,0,0,0,6,3153903,3157760
ENSG00000104368,5327,PLAT,1,0,0,0,8,42032236,42065242
ENSG00000172403,171024,SYNPO2,1,0,0,0,4,119809996,119982402
ENSG00000101447,81610,FAM83D,19.3796401732879,4.72876431701288,4.09824615355959,0,20,37554955,37581703
ENSG00000238243,343171,OR2W3,1.58049332044696,0,1.58049332044696,0,1,248031277,248060449
ENSG00000182795,79098,C1orf116,1,0,0,0,1,207191866,207206101
ENSG00000110944,51561,IL23A,1,0,0,0,12,56732663,56734193
ENSG00000196407,284486,THEM5,1,0,0,0,1,151819739,151826173
ENSG00000188175,253012,HEPACAM2,1,0,0,0,7,92817899,92855837
ENSG00000111057,3875,KRT18,12.8005589292724,2.34575893653888,5.45689445316976,0,12,53342655,53346685
ENSG00000119630,5228,PGF,1,0,0,0,14,75408537,75422487
ENSG00000100362,5816,PVALB,1,0,0,0,22,37196728,37215523
ENSG00000148344,9536,PTGES,1,0,0,0,9,132500610,132515326
ENSG00000261611,NA,NA,1,0,0,0,16,71481503,71523214
ENSG00000133742,759,CA1,1,0,0,0,8,86239837,86291243
ENSG00000079156,114880,OSBPL6,1,0,0,0,2,179059208,179264160
ENSG00000185198,400668,PRSS57,1,0,0,0,19,685521,695460
ENSG00000176890,7298,TYMS,2.25211699687311,0,2.25211699687311,0,18,657604,673578
ENSG00000181143,94025,MUC16,1,0,0,0,19,8959520,9092018
ENSG00000204010,439996,IFIT1B,1,0,0,0,10,91137813,91144962
ENSG00000148935,2620,GAS2,1,0,0,0,11,22647188,22834601
ENSG00000106565,28959,TMEM176B,1.73542445722563,0,0,1.73542445722563,7,150488373,150498448
ENSG00000048462,608,TNFRSF17,3.38125106659773,0,3.38125106659773,0,16,12058964,12061925
ENSG00000285708,27086,FOXP1,4.7012915361645,0,0,4.7012915361645,NA,NA,NA
ENSG00000070182,6710,SPTB,1,0,0,0,14,65213002,65346601
ENSG00000179750,9582,APOBEC3B,1,0,0,0,22,39378352,39388809
ENSG00000134057,891,CCNB1,1.41238924807317,1.41238924807317,0,0,5,68462837,68474072
ENSG00000187902,729956,SHISA7,1,0,0,0,19,55940107,55954230
ENSG00000263201,100131303,DPEP2NB,1,0,0,0,16,68047339,68049814
ENSG00000283515,NA,NA,1,0,0,0,NA,NA,NA
ENSG00000242852,163051,ZNF709,1.61787600831367,1.61787600831367,0,0.807744010004835,19,12571998,12624668
ENSG00000284989,NA,NA,1,0,0,0,NA,NA,NA
ENSG00000274944,100527950,GJA9-MYCBP,1,0,0,0,NA,NA,NA
ENSG00000197915,388697,HRNR,3.52598543697093,0,3.52598543697093,0,1,152184558,152196669
ENSG00000255641,NA,NA,1,0,0,0,12,10564911,10588600
ENSG00000197409,8351,HIST1H3D,1,0,0,0,6,26197068,26199521
ENSG00000076864,5909,RAP1GAP,2.99522643336847,0,2.99522643336847,0,1,21922708,21995801
ENSG00000182512,51218,GLRX5,1,0,0,0,14,95999840,96011061
ENSG00000250264,NA,NA,1,0,0,0,6,32781544,32806599
ENSG00000185630,5087,PBX1,1.31362884683009,0,1.31362884683009,0,1,164524821,164868533
ENSG00000170482,9963,SLC23A1,1,0,0,0,5,138702885,138720242
ENSG00000206177,3042,HBM,1,0,0,0,16,203891,216767
ENSG00000100433,54207,KCNK10,14.5075466347123,3.85253730750212,3.76571217271836,0,14,88649113,88793251
ENSG00000004939,6521,SLC4A1,1,0,0,0,17,42325753,42345509
ENSG00000166803,9768,PCLAF,1,0,0,0,15,64657193,64679886
ENSG00000154165,2838,GPR15,1,0,0,0,3,98250743,98251960
ENSG00000112232,202559,KHDRBS2,1,0,0,0,6,62389865,62996132
ENSG00000158578,212,ALAS2,1,0,0,0,X,55035488,55057497
ENSG00000274349,26149,ZNF658,2.61502807468136,0,2.61502807468136,0,NA,NA,NA
ENSG00000258790,NA,NA,1,0,0,0,14,35591755,35786680
ENSG00000047597,7504,XK,1,0,0,0,X,37545012,37591383
ENSG00000100116,23464,GCAT,1,0,0,0,22,38203912,38213183
ENSG00000169877,51327,AHSP,1,0,0,0,16,31539185,31540124
ENSG00000185527,5148,PDE6G,1,0,0,0,17,79617489,79630142
ENSG00000256060,10597,TRAPPC2B,1,0,0,0,19,57874879,57876721
ENSG00000168502,23255,MTCL1,1.78973872607117,0,0,1.78973872607117,18,8705659,8832776
ENSG00000223609,3045,HBD,1,0,0,0,11,5253908,5256600
ENSG00000178718,54913,RPP25,3.36815103766448,0,3.36815103766448,0,15,75246757,75249805
ENSG00000213088,2532,ACKR1,1,0,0,0,1,159173097,159176290
ENSG00000132517,55065,SLC52A1,1,0,0,0,17,4935895,4955304
ENSG00000130489,9997,SCO2,1,0,0,0,22,50961997,50964868
ENSG00000184434,64922,LRRC19,1.05758783583092,1.05758783583092,0,0,9,26993134,27005691
ENSG00000178297,360200,TMPRSS9,1,0,0,0,19,2389769,2426237
ENSG00000213648,445329,SULT1A4,7.32302677653313,2.19314768078467,3.33904863803475,0,16,29467127,29476300
ENSG00000102760,28984,RGCC,1,0,0,0,13,42031695,42045018
ENSG00000187498,1282,COL4A1,1,0,0,0,13,110801318,110959496
ENSG00000203852,333932,HIST2H3A,1,0,0,0,1,149824181,149825836
ENSG00000181856,6517,SLC2A4,1,0,0,0,17,7184986,7191576
ENSG00000088325,22974,TPX2,1,0,0,0,20,30327074,30389608
ENSG00000283288,111064649,SMIM33,1,0,0,0,NA,NA,NA
ENSG00000144152,129804,FBLN7,1,0,0,0,2,112895962,112945791
ENSG00000135423,27165,GLS2,1,0,0,0.878716501155134,12,56864736,56882198
ENSG00000024526,55635,DEPDC1,1.99667977796533,1.99667977796533,0,0,1,68939835,68962904
ENSG00000256269,3145,HMBS,1,0,0,0,11,118955576,118964259
ENSG00000186081,3852,KRT5,1,0,0,0,12,52908359,52914471
ENSG00000119326,8727,CTNNAL1,1,0,0,0,9,111704851,111775809
ENSG00000168209,54541,DDIT4,1.90084146060836,1.90084146060836,0,0,10,74033678,74035794
ENSG00000167535,784,CACNB3,1,0,0,0,12,49207577,49222724
ENSG00000130821,6535,SLC6A8,1,0,0,0,X,152953554,152962048
ENSG00000143416,8991,SELENBP1,1,0,0,0,1,151336778,151345209
ENSG00000129048,51554,ACKR4,1,0,0,0,3,132316081,132337811
ENSG00000262209,56102,PCDHGB3,1,0,0,0,5,140749831,140892546
ENSG00000205923,752014,CEMP1,1,0,0,0,16,2577081,2581420
ENSG00000075702,284403,WDR62,1,0,0,0,19,36545783,36596008
ENSG00000204520,100507436,MICA,2.04327454257963,0,2.04327454257963,0,6,31371356,31383092
ENSG00000119950,4601,MXI1,1,0,0,0,10,111967363,112047123
ENSG00000244486,91179,SCARF2,1,0,0,0,22,20778874,20792146
ENSG00000172331,669,BPGM,1,0,0,0,7,134331560,134364565
ENSG00000258102,643246,MAP1LC3B2,1,0,0,0,12,116985911,116992186
ENSG00000167601,558,AXL,2.57421859077838,0,2.57421859077838,0,19,41725108,41767671
ENSG00000106484,4232,MEST,1,0,0,0,7,130126012,130146133
ENSG00000093009,8318,CDC45,2.1469305396412,0,2.1469305396412,0,22,19466982,19508135
ENSG00000228570,283008,NUTM2E,3.73160447591459,0,3.73160447591459,0,10,81601114,81610632
ENSG00000132465,3512,JCHAIN,1,0,0,0,4,71521258,71547534
ENSG00000099958,91319,DERL3,7.21923218271634,2.44871620146036,2.9481702201386,0,22,24176690,24181315
ENSG00000183793,100288332,NPIPA5,1,0,0,0,16,15457516,15474904
ENSG00000138741,7222,TRPC3,1,0,0,0,4,122800182,122872909
ENSG00000134013,4017,LOXL2,1,0,0,0,8,23154702,23282841
ENSG00000072571,3161,HMMR,1,0,0,0,5,162887209,162918947
ENSG00000178445,2731,GLDC,1,0,0,0,9,6532464,6645650
ENSG00000183150,2842,GPR19,1,0,0,0,12,12813825,12849141
ENSG00000175931,63893,UBE2O,1,0,0,0,17,74385532,74449288
ENSG00000150967,23457,ABCB9,7.18222468542423,2.16327680206293,3.32006735271934,0,12,123405498,123466196
ENSG00000112077,6005,RHAG,2.52361525122471,0,2.52361525122471,0,6,49572871,49604552
ENSG00000113389,4883,NPR3,2.32204966682675,0,0,2.32204966682675,5,32689176,32791819
ENSG00000178033,254228,CALHM5,1,0,0,0,6,116832809,116845955
ENSG00000197361,283807,FBXL22,1,0,0,0,15,63889552,63894627
ENSG00000008441,4784,NFIX,1,0,0,0,19,13106422,13209610
ENSG00000163808,56992,KIF15,1,0,0,0.725458552728866,3,44803209,44914868
ENSG00000118557,83449,PMFBP1,1,0,0,0,16,72146056,72210777
ENSG00000167861,283987,HID1,1,0,0,0,17,72946838,72969261
ENSG00000164849,115330,GPR146,1,0,0,0.905840022612111,7,1084212,1098897
ENSG00000136840,27090,ST6GALNAC4,1,0,0,0,9,130670165,130679317
ENSG00000118690,84071,ARMC2,1,0,0,0,6,109169619,109295186
ENSG00000183508,54855,TENT5C,1,0,0,0,1,118148556,118170994
ENSG00000110693,55553,SOX6,1,0,0,0,11,15987995,16761138
ENSG00000171798,85442,KNDC1,1,0,0,0,10,134973951,135039916
ENSG00000169439,6383,SDC2,1,0,0,0,8,97505579,97624000
ENSG00000179934,1237,CCR8,1,0,0,0,3,39371197,39375171
ENSG00000163827,79442,LRRC2,1,0,0,0,3,46556913,46621589
ENSG00000156510,80201,HKDC1,1.08532023619413,0,0,1.08532023619413,10,70980059,71027315
ENSG00000271303,140809,SRXN1,1,0,0,0,20,627259,634014
ENSG00000182195,23641,LDOC1,8.00563367643155,2.25147489390496,3.55572860177294,0,X,140269934,140271310
ENSG00000124098,116151,FAM210B,1,0,0,0,20,54933971,54943719
ENSG00000181788,6478,SIAH2,1,0,0,0,3,150458914,150481264
ENSG00000057757,57095,PITHD1,1,0,0,0,1,24104895,24114722
ENSG00000198046,63934,ZNF667,1,0,0,0,19,56950694,56989434
ENSG00000131981,3958,LGALS3,1,0,0,0,14,55590828,55612126
ENSG00000086506,3049,HBQ1,1,0,0,0,16,230452,231180
ENSG00000150667,161835,FSIP1,1,0,0,0,15,39892232,40075031
ENSG00000142627,1969,EPHA2,2.1726970115965,2.1726970115965,0,0,1,16450832,16482582
ENSG00000184792,23762,OSBP2,1,0,0,0,22,31089769,31303811
ENSG00000143473,3756,KCNH1,1,0,0,0,1,210856555,211307457
ENSG00000174607,7368,UGT8,2.96244736861789,0,2.96244736861789,0,4,115519611,115599380
ENSG00000177602,83903,HASPIN,2.24210306653008,2.24210306653008,0,0,17,3627211,3630067
ENSG00000167768,3848,KRT1,1.26454556228042,0,0,1.26454556228042,12,53068520,53074191
ENSG00000187134,1645,AKR1C1,1,0,0,0,10,4934796,5025475
ENSG00000133606,23608,MKRN1,1,0,0,0,7,140152840,140179369
ENSG00000188672,6006,RHCE,1.23118469777238,1.23118469777238,0,0,1,25688740,25756683
ENSG00000066279,259266,ASPM,1,0,0,0,1,197053258,197115824
ENSG00000196890,128312,HIST3H2BB,1,0,0,0,1,228645808,228646259
ENSG00000168268,64943,NT5DC2,1,0,0,0,3,52558386,52569070
ENSG00000137563,8836,GGH,1,0,0,0,8,63927638,63951730
ENSG00000136819,51759,C9orf78,1,0,0,0,9,132589569,132598142
ENSG00000133121,90627,STARD13,1,0,0,0,13,33677272,33924767
ENSG00000163687,1776,DNASE1L3,1,0,0,0,3,58177984,58200424
ENSG00000188996,135458,HUS1B,1,0,0,0,6,655939,656963
ENSG00000145354,493856,CISD2,1.07244792744529,0,1.07244792744529,0,4,103790135,103810399
ENSG00000277481,342372,PKD1L3,1.09356426049077,0,1.09356426049077,0,NA,NA,NA
ENSG00000129646,84074,QRICH2,1,0,0,0,17,74270130,74303761
ENSG00000250361,2994,GYPB,1,0,0,0,4,144917257,145061844
ENSG00000077152,29089,UBE2T,2.23751988081477,0,2.23751988081477,0,1,202300785,202311108
ENSG00000172889,51162,EGFL7,1,0,0,0,9,139553308,139567130
ENSG00000186310,4675,NAP1L3,1,0,0,0.97590349447424,X,92925929,92928567
ENSG00000238269,389860,PAGE2B,1,0,0,0,X,55101496,55105342
ENSG00000059915,5662,PSD,1,0,0,0,10,104162376,104181296
ENSG00000180921,286077,FAM83H,1,0,0,0,8,144806103,144815971
ENSG00000204086,29935,RPA4,1.11693908787601,1.11693908787601,0,0,X,96138907,96140446
ENSG00000021645,9369,NRXN3,1,0,0,0,14,78708734,80330762
ENSG00000198838,6263,RYR3,1,0,0,0,15,33603163,34158303
ENSG00000101132,5203,PFDN4,1,0,0,0,20,52824386,52844591
ENSG00000152475,116412,ZNF837,1,0,0,0,19,58878985,58892427
ENSG00000043591,153,ADRB1,1,0,0,0,10,115803806,115806667
ENSG00000142494,55244,SLC47A1,2.61717407982322,2.61717407982322,0,0,17,19398698,19482347
ENSG00000137936,8412,BCAR3,1,0,0,0,1,94027347,94312706
ENSG00000141179,58488,PCTP,1,0,0,0.373397637777675,17,53828340,53920191
ENSG00000189060,3005,H1F0,1,0,0,0,22,38201114,38203442
ENSG00000079308,7145,TNS1,1,0,0,0,2,218664512,218867718
ENSG00000124257,140825,NEURL2,1,0,0,0,20,44517264,44519926
ENSG00000156097,83873,GPR61,1,0,0,0,1,110082494,110091028
ENSG00000166451,55839,CENPN,1,0,0,0,16,81040103,81066719
ENSG00000174371,9156,EXO1,1,0,0,0,1,242011269,242058450
ENSG00000164087,25886,POC1A,2.23233777521132,0,2.23233777521132,0,3,52109269,52188706
ENSG00000183010,5831,PYCR1,1,0,0,0,17,79890260,79900288
ENSG00000146122,23500,DAAM2,1,0,0,0,6,39760142,39872648
ENSG00000112212,222642,TSPO2,1,0,0,0,6,41010293,41012076
ENSG00000214827,4515,MTCP1,1,0,0,0,X,154289897,154376212
ENSG00000137198,2766,GMPR,1,0,0,0,6,16238811,16295780
ENSG00000129244,482,ATP1B2,1,0,0,0,17,7549945,7561086
ENSG00000215784,728833,FAM72D,1,0,0,0,1,143896452,143913143
ENSG00000152763,79819,WDR78,1,0,0,0,1,67278568,67390570
ENSG00000171611,171558,PTCRA,1,0,0,0,6,42883727,42893573
ENSG00000169621,10887,PROKR1,1,0,0,0,2,68694693,68858004
ENSG00000115758,4953,ODC1,1,0,0,0.350923959389581,2,10580094,10588630
ENSG00000125498,3802,KIR2DL1,4.7770572346985,4.7770572346985,0,0,19,55281263,55295774
ENSG00000134532,6660,SOX5,1,0,0,0,12,23682440,24103966
ENSG00000175899,2,A2M,1,0,0,0,12,9220260,9268825
ENSG00000168785,10098,TSPAN5,1,0,0,0,4,99391518,99579780
ENSG00000151881,64417,TMEM267,1,0,0,0,5,43444354,43483995
ENSG00000179168,199720,GGN,1,0,0,0,19,38874905,38878722
ENSG00000204764,64901,RANBP17,1,0,0,0,5,170288874,170727019
ENSG00000273703,8342,HIST1H2BM,1,0,0,0,NA,NA,NA
ENSG00000029534,286,ANK1,1,0,0,0,8,41510739,41754280
ENSG00000112742,7272,TTK,1,0,0,0,6,80713604,80752244
ENSG00000163554,6708,SPTA1,1,0,0,0,1,158580496,158656488
ENSG00000121410,1,A1BG,1,0,0,0,19,58856544,58864865
ENSG00000274600,440804,RIMBP3B,1,0,0,0,NA,NA,NA
ENSG00000172209,2845,GPR22,1.224927745117,0,1.224927745117,0,7,107110463,107116098
ENSG00000278828,8357,HIST1H3H,1,0,0,0,NA,NA,NA
ENSG00000278637,8359,HIST1H4A,1,0,0,0,NA,NA,NA
ENSG00000198342,79973,ZNF442,1,0,0,0,19,12460185,12476719
ENSG00000104522,7264,TSTA3,1.61851587100713,0,1.61851587100713,0,8,144694788,144700218
ENSG00000169752,145957,NRG4,1,0,0,0,15,76228310,76352136
ENSG00000107130,23413,NCS1,1,0,0,0,9,132934857,132999583
ENSG00000145335,6622,SNCA,1,0,0,0,4,90645250,90759466
ENSG00000147862,4781,NFIB,1,0,0,0,9,14081842,14398982
ENSG00000186132,130355,C2orf76,3.9656168267275,2.03957856674654,1.94433148660377,0,2,120059801,120124404
ENSG00000214967,101059938,NPIPA7,1,0,0,0,16,16472912,16487811
ENSG00000166947,2038,EPB42,1,0,0,0,15,43398423,43513481
ENSG00000099282,23555,TSPAN15,2.12243097153272,0,2.12243097153272,0,10,71211229,71267425
ENSG00000161653,162417,NAGS,1,0,0,0,17,42081914,42086431
ENSG00000186792,8372,HYAL3,3.40399084163642,0,0,3.40399084163642,3,50330262,50336899
ENSG00000007968,1870,E2F2,1,0,0,0,1,23832922,23857712
