"chr","pos","cms_score","genes","bin"
"chr2",160894871,23.0957,"ITGB6 & PLA2R1","805"
"chr7",299450,22.9029,"FAM20C","2"
"chr19",33231786,22.687,"ANKRD27 & NUDT19 & RGS9BP & SLC7A9 & TDRD12","167"
"chr6",52112716,22.3467,"IL17A & IL17F & LINCMD1 & MCM3 & MIR133B","261"
"chr5",145778013,22.1664,"POU4F3 & TCERG1","729"
"chr22",37774358,22.1526,"CYTH4 & ELFN2 & LOC100506271 & MFNG","189"
"chr16",26841292,22.089,"NONAME","135"
"chr19",33772816,21.8366,"CEBPA & CEBPA-DT & CEBPG & LRP3 & SLC7A10","169"
"chr12",109589024,21.456,"ACACB & ALKBH2 & UNG & USP30 & USP30-AS1","548"
"chr7",132886923,21.3855,"EXOC4 & LOC105375512 & MIR6133","665"
"chr20",24717867,21.0975,"SYNDIG1","124"
"chr16",80053766,20.8858,"NONAME","401"
"chr12",104362476,20.7427,"C12orf73 & GLT8D2 & HCFC2 & HSP90B1 & MIR3652 & TDG & TTC41P","522"
"chr14",35858552,20.6549,"NFKBIA & PSMA6","180"
"chr2",160058859,20.5648,"MIR6888 & TANC1 & WDSUB1","801"
"chr7",132366862,20.5105,"FLJ40288 & LOC100506937 & PLXNA4","662"
"chr16",25931923,20.3012,"HS3ST4","130"
"chr19",33190285,20.2778,"ANKRD27 & NUDT19 & RGS9BP & SNORA68B & TDRD12","166"
"chr12",109603931,20.0465,"ACACB & ALKBH2 & UNG & USP30","549"
"chr7",100692680,19.9416,"LOC102724094 & MUC12 & MUC17 & MUC3A & SERPINE1 & TRIM56","504"
"chr5",22461671,19.8584,"CDH12","113"
"chr6",158211568,19.8259,"SNX9","792"
"chr6",71343073,19.7825,"FAM135A & SDHAF4 & SMAP1","357"
"chr12",109318833,19.7569,"DAO & MIR619 & SSH1 & SVOP","547"
"chr22",44762977,19.7043,"LINC01656 & SHISAL1","224"
"chr12",104415609,19.6817,"C12orf73 & GLT8D2 & HCFC2 & HSP90B1 & MIR3652 & NFYB & TDG & TTC41P","523"
"chr15",60250100,19.2139,"FOXB1","302"
"chr12",116018801,19.2028,"NONAME","581"
"chr10",49483894,19.1609,"FRMPD2 & MAPK8","248"
"chr14",103008824,19.0762,"ANKRD9 & LINC02323 & MIR4309 & RCOR1 & TECPR2","516"
"chr2",161351758,19.0488,"MIR4785 & RBMS1","807"
"chr15",60620015,18.8699,"ANXA2 & ICE2","304"
"chr6",52559782,18.8502,"GSTA1 & GSTA2 & GSTA7P & LOC730101 & TMEM14A","263"
"chr6",158197415,18.8199,"SNX9","791"
"chr4",2475109,18.7769,"CFAP99 & FAM193A & RNF4 & ZFYVE28","13"
"chr1",110426252,18.7436,"CSF1","553"
"chr1",167473425,18.6737,"CD247 & CREG1 & POU2F1","838"
"chr10",27620469,18.5145,"ACBD5 & ARMC4P1 & LRRC37A6P & PTCHD3","139"
"chr1",167103945,18.5041,"DUSP27 & GPA33 & LINC01363 & POU2F1","836"
"chr12",9462984,18.2941,"A2MP1 & LINC00987 & LINC02367 & LOC101928030 & LOC642846 & LOC728715 & MIR1244-1 & MIR1244-2 & MIR1244-3 & MIR1244-4","48"
"chr18",22170149,18.2509,"LINC01915","111"
"chr14",25017635,18.0335,"CMA1 & CTSG & GZMB & GZMH & LOC101927045","126"
"chr2",161135991,17.9315,"ITGB6 & LINC02478 & RBMS1","806"
"chr4",166659698,17.892,"LINC01179 & LOC101928131","834"
"chr12",114241124,17.8291,"LINC01234 & RBM19","572"
"chr14",35775561,17.7992,"KIAA0391 & NFKBIA & PSMA6","179"
"chr11",118765688,17.7678,"BCL9L & CXCR5 & FOXR1 & MIR4492 & UPK2","594"
"chr1",16739907,17.6607,"CROCCP3 & FBXO42 & LINC01772 & NECAP2 & SPATA21 & SZRD1","84"
"chr16",11449862,17.6402,"LOC105371083 & PRM1 & PRM2 & PRM3 & RMI2 & SOCS1 & TNP2","58"
"chr12",47970908,17.6151,"RPAP3","240"
"chr12",108739318,17.6139,"CMKLR1 & WSCD2","544"
"chr14",97529074,17.5619,"LINC02304","488"
"chr14",24943431,17.5597,"CBLN3 & CMA1 & CTSG & KHNYN & LOC101927045 & NFATC4 & NYNRIN & SDR39U1","125"
"chr16",11003101,17.3161,"CIITA & CLEC16A & DEXI & TVP23A","56"
